,date_recorded,time_recorded,energy_active,energy_apparent,energy_reactive,power_active,power_apparent,power_reactive
0,01/05/2019,02:00:05,38595.6,48457.60000000001,2743.5,67,215,4294967108
1,01/05/2019,02:15:05,38595.6,48457.7,2743.5,67,214,4294967110
2,01/05/2019,02:30:05,38595.6,48457.7,2743.4,65,209,4294967115
3,01/05/2019,02:45:05,38595.6,48457.8,2743.4,65,210,4294967113
4,01/05/2019,03:00:05,38595.6,48457.8,2743.3,65,209,4294967115
5,01/05/2019,03:15:05,38595.6,48457.9,2743.3,65,210,4294967111
6,01/05/2019,03:30:05,38595.6,48457.9,2743.3,65,212,4294967116
7,01/05/2019,03:45:05,38595.6,48458.0,2743.2,65,211,4294967115
8,01/05/2019,04:00:05,38595.6,48458.0,2743.2,66,212,4294967114
9,01/05/2019,04:15:05,38595.6,48458.10000000001,2743.2,66,212,4294967114
10,01/05/2019,04:30:05,38595.6,48458.10000000001,2743.1,65,211,4294967115
11,01/05/2019,04:45:05,38595.6,48458.2,2743.1,66,213,4294967113
12,01/05/2019,05:00:05,38595.6,48458.2,2743.1,65,212,4294967111
13,01/05/2019,05:15:05,38595.6,48458.3,2743.0,66,213,4294967111
14,01/05/2019,05:30:05,38595.6,48458.4,2743.0,67,213,4294967115
15,01/05/2019,05:45:05,38595.6,48458.4,2743.0,67,214,4294967111
16,01/05/2019,06:00:05,38595.6,48458.5,2742.9,67,216,4294967109
17,01/05/2019,06:15:05,38595.6,48458.5,2742.9,66,213,4294967110
18,01/05/2019,06:30:05,38595.6,48458.60000000001,2742.8,68,217,4294967108
19,01/05/2019,06:45:05,38595.6,48458.60000000001,2742.8,68,216,4294967109
20,01/05/2019,07:00:05,38595.6,48458.7,2742.8,64,209,4294967113
21,01/05/2019,07:15:05,38595.6,48458.7,2742.7,65,209,4294967114
22,01/05/2019,07:30:05,38595.6,48458.8,2742.7,65,209,4294967114
23,01/05/2019,07:45:05,38595.6,48458.8,2742.7,64,209,4294967117
24,01/05/2019,08:00:05,38595.6,48458.9,2742.6,65,207,4294967116
25,01/05/2019,08:15:05,38595.6,48458.9,2742.6,64,207,4294967119
26,01/05/2019,08:30:03,38595.6,48459.0,2742.6,280,472,14
27,01/05/2019,08:45:05,38595.7,48459.2,2742.6,279,469,16
28,01/05/2019,09:00:03,38595.7,48459.3,2742.6,279,469,14
29,01/05/2019,09:15:05,38595.8,48459.4,2742.6,281,471,16
30,01/05/2019,09:30:05,38596.5,48460.3,2742.8,517,670,89
31,01/05/2019,09:45:05,38596.6,48460.4,2742.8,478,634,32
32,01/05/2019,10:00:05,38596.7,48460.5,2742.8,259,369,4294967132
