,date_recorded,time_recorded,humidity_indoor,temperature_indoor
0,01/05/2019,02:00:25,41.5,26.5
1,01/05/2019,02:15:25,41.5,26.4
2,01/05/2019,02:30:27,41.4,26.4
3,01/05/2019,02:45:25,41.4,26.4
4,01/05/2019,03:00:25,41.4,26.4
5,01/05/2019,03:15:25,41.4,26.4
6,01/05/2019,03:30:27,41.3,26.3
7,01/05/2019,03:45:25,41.3,26.3
8,01/05/2019,04:00:25,41.3,26.3
9,01/05/2019,04:15:25,41.2,26.3
10,01/05/2019,04:30:25,41.2,26.3
11,01/05/2019,04:45:25,41.2,26.2
12,01/05/2019,05:00:25,41.1,26.2
13,01/05/2019,05:15:26,41.1,26.2
14,01/05/2019,05:30:25,41.1,26.2
15,01/05/2019,05:45:25,41.0,26.2
16,01/05/2019,06:00:27,41.0,26.2
17,01/05/2019,06:15:25,40.9,26.1
18,01/05/2019,06:30:25,40.9,26.1
19,01/05/2019,06:45:25,40.9,26.1
20,01/05/2019,07:00:25,40.8,26.1
21,01/05/2019,07:15:25,40.7,26.1
22,01/05/2019,07:30:25,40.2,26.1
23,01/05/2019,07:45:25,39.9,26.2
24,01/05/2019,08:00:25,39.9,26.1
25,01/05/2019,08:15:25,39.8,26.1
26,01/05/2019,08:30:25,40.0,26.1
27,01/05/2019,08:45:25,40.2,26.0
28,01/05/2019,09:00:23,40.2,26.0
29,01/05/2019,09:15:25,40.3,26.0
30,01/05/2019,09:30:25,40.3,26.0
31,01/05/2019,09:45:25,40.4,26.0
32,01/05/2019,10:00:25,40.2,26.1
33,01/05/2019,10:15:25,40.3,26.2
34,01/05/2019,10:30:25,40.4,26.2
35,01/05/2019,10:45:25,40.4,26.2
36,01/05/2019,11:15:26,40.7,26.2
37,01/05/2019,11:30:30,40.1,26.3
38,01/05/2019,11:45:26,40.3,26.4
39,01/05/2019,12:00:25,39.7,26.4
40,01/05/2019,12:15:25,39.7,26.4
41,01/05/2019,12:30:25,39.6,26.5
42,01/05/2019,12:45:25,39.3,26.5
43,01/05/2019,13:00:25,39.3,26.5
44,01/05/2019,13:15:25,39.5,26.5
45,01/05/2019,13:30:25,39.2,26.5
