,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,24.5,24.5,24.5,24.5
1,24.5,24.5,24.5,24.5
2,24.5,24.5,24.5,24.5
3,24.5,24.5,24.5,24.5
4,24.5,24.5,24.5,24.5
5,24.5,24.5,24.5,24.4
6,24.5,24.5,24.4,24.4
7,24.5,24.4,24.4,24.4
8,24.4,24.4,24.4,24.4
9,24.4,24.4,24.4,24.4
10,24.4,24.4,24.4,24.4
11,24.4,24.4,24.4,24.4
12,24.4,24.4,24.4,24.4
13,24.4,24.4,24.4,24.4
14,24.4,24.4,24.4,24.35
15,24.4,24.4,24.35,24.3
16,24.4,24.35,24.3,24.3
17,24.35,24.3,24.3,24.3
18,24.3,24.3,24.3,24.3
19,24.3,24.3,24.3,24.3
20,24.3,24.3,24.3,24.3
21,24.3,24.3,24.3,24.3
22,24.3,24.3,24.3,24.3
23,24.3,24.3,24.3,24.3
24,24.3,24.3,24.3,24.3
25,24.3,24.3,24.3,24.3
26,24.3,24.3,24.3,24.2
27,24.3,24.3,24.2,24.15
28,24.3,24.2,24.15,24.1
29,24.2,24.15,24.1,24.0
30,24.15,24.1,24.0,24.0
31,24.1,24.0,24.0,24.0
32,24.0,24.0,24.0,24.0
33,24.0,24.0,24.0,24.0
34,24.0,24.0,24.0,24.0
35,24.0,24.0,24.0,23.9
36,24.0,24.0,23.9,24.0
37,24.0,23.9,24.0,24.0
38,23.9,24.0,24.0,24.0
39,24.0,24.0,24.0,24.0
40,24.0,24.0,24.0,24.1
41,24.0,24.0,24.1,24.1
42,24.0,24.1,24.1,24.2
43,24.1,24.1,24.2,24.2
44,24.1,24.2,24.2,24.2
45,24.2,24.2,24.2,24.3
46,24.2,24.2,24.3,24.3
47,24.2,24.3,24.3,24.4
48,24.3,24.3,24.4,24.4
49,24.3,24.4,24.4,24.5
50,24.4,24.4,24.5,24.5
51,24.4,24.5,24.5,24.5
52,24.5,24.5,24.5,24.55
53,24.5,24.5,24.55,24.6
54,24.5,24.55,24.6,24.7
55,24.55,24.6,24.7,24.8
56,24.6,24.7,24.8,24.8
57,24.7,24.8,24.8,24.8
58,24.8,24.8,24.8,24.8
59,24.8,24.8,24.8,24.6
60,24.8,24.8,24.6,24.6
61,24.8,24.6,24.6,24.5
62,24.6,24.6,24.5,24.5
63,24.6,24.5,24.5,24.4
64,24.5,24.5,24.4,24.4
65,24.5,24.4,24.4,24.3
66,24.4,24.4,24.3,24.3
67,24.4,24.3,24.3,24.3
68,24.3,24.3,24.3,24.3
69,24.3,24.3,24.3,24.2
70,24.3,24.3,24.2,24.2
71,24.3,24.2,24.2,24.2
72,24.2,24.2,24.2,24.2
73,24.2,24.2,24.2,24.1
74,24.2,24.2,24.1,24.1
75,24.2,24.1,24.1,24.2
76,24.1,24.1,24.2,24.2
77,24.1,24.2,24.2,24.2
78,24.2,24.2,24.2,24.2
79,24.2,24.2,24.2,24.2
80,24.2,24.2,24.2,24.2
81,24.2,24.2,24.2,24.2
82,24.2,24.2,24.2,24.1
83,24.2,24.2,24.1,24.1
84,24.2,24.1,24.1,24.1
85,24.1,24.1,24.1,24.1
86,24.1,24.1,24.1,24.1
87,24.1,24.1,24.1,24.1
88,24.1,24.1,24.1,24.1
89,24.1,24.1,24.1,24.1
