,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,29.4,29.4,29.4,29.4
1,29.4,29.4,29.4,29.4
2,29.4,29.4,29.4,29.4
3,29.4,29.4,29.4,29.4
4,29.4,29.4,29.4,29.4
5,29.4,29.4,29.4,29.3
6,29.4,29.4,29.3,29.3
7,29.4,29.3,29.3,29.3
8,29.3,29.3,29.3,29.3
9,29.3,29.3,29.3,29.3
10,29.3,29.3,29.3,29.3
11,29.3,29.3,29.3,29.3
12,29.3,29.3,29.3,29.3
13,29.3,29.3,29.3,29.3
14,29.3,29.3,29.3,29.3
15,29.3,29.3,29.3,29.3
16,29.3,29.3,29.3,29.3
17,29.3,29.3,29.3,29.3
18,29.3,29.3,29.3,29.3
19,29.3,29.3,29.3,29.3
20,29.3,29.3,29.3,29.3
21,29.3,29.3,29.3,29.3
22,29.3,29.3,29.3,29.3
23,29.3,29.3,29.3,29.3
24,29.3,29.3,29.3,29.3
25,29.3,29.3,29.3,28.9
26,29.3,29.3,28.9,28.5
27,29.3,28.9,28.5,28.1
28,28.9,28.5,28.1,27.7
29,28.5,28.1,27.7,26.6
30,28.1,27.7,26.6,26.8
31,27.7,26.6,26.8,26.9
32,26.6,26.8,26.9,26.5
33,26.8,26.9,26.5,26.4
34,26.9,26.5,26.4,26.3
35,26.5,26.4,26.3,26.6
36,26.4,26.3,26.6,26.3
37,26.3,26.6,26.3,26.1
38,26.6,26.3,26.1,26.2
39,26.3,26.1,26.2,26.2
40,26.1,26.2,26.2,26.1
41,26.2,26.2,26.1,26.4
42,26.2,26.1,26.4,26.3
43,26.1,26.4,26.3,26.3
44,26.4,26.3,26.3,26.1
45,26.3,26.3,26.1,26.1
46,26.3,26.1,26.1,26.2
47,26.1,26.1,26.2,25.8
48,26.1,26.2,25.8,26.0
49,26.2,25.8,26.0,26.1
50,25.8,26.0,26.1,26.0
51,26.0,26.1,26.0,25.9
52,26.1,26.0,25.9,26.0
53,26.0,25.9,26.0,26.0
54,25.9,26.0,26.0,26.1
55,26.0,26.0,26.1,26.1
56,26.0,26.1,26.1,26.0
57,26.1,26.1,26.0,26.4
58,26.1,26.0,26.4,27.1
59,26.0,26.4,27.1,27.4
60,26.4,27.1,27.4,27.6
61,27.1,27.4,27.6,27.7
62,27.4,27.6,27.7,28.0
63,27.6,27.7,28.0,28.05
64,27.7,28.0,28.05,28.1
65,28.0,28.05,28.1,28.3
66,28.05,28.1,28.3,28.5
67,28.1,28.3,28.5,28.5
68,28.3,28.5,28.5,28.6
69,28.5,28.5,28.6,28.7
70,28.5,28.6,28.7,28.7
71,28.6,28.7,28.7,28.8
72,28.7,28.7,28.8,28.8
73,28.7,28.8,28.8,28.9
74,28.8,28.8,28.9,28.9
75,28.8,28.9,28.9,28.5
76,28.9,28.9,28.5,27.9
77,28.9,28.5,27.9,27.9
78,28.5,27.9,27.9,28.3
79,27.9,27.9,28.3,28.5
80,27.9,28.3,28.5,28.6
81,28.3,28.5,28.6,28.7
82,28.5,28.6,28.7,28.7
83,28.6,28.7,28.7,28.8
84,28.7,28.7,28.8,28.8
85,28.7,28.8,28.8,28.8
86,28.8,28.8,28.8,28.8
87,28.8,28.8,28.8,28.8
88,28.8,28.8,28.8,28.8
89,28.8,28.8,28.8,28.8
90,28.8,28.8,28.8,28.8
91,28.8,28.8,28.8,28.8
92,28.8,28.8,28.8,28.8
93,28.8,28.8,28.8,28.8
94,28.8,28.8,28.8,28.8
95,28.8,28.8,28.8,28.8
96,28.8,28.8,28.8,28.8
97,28.8,28.8,28.8,28.8
98,28.8,28.8,28.8,28.8
99,28.8,28.8,28.8,28.8
100,28.8,28.8,28.8,28.8
101,28.8,28.8,28.8,28.8
102,28.8,28.8,28.8,28.8
103,28.8,28.8,28.8,28.8
104,28.8,28.8,28.8,28.8
105,28.8,28.8,28.8,28.8
106,28.8,28.8,28.8,28.8
107,28.8,28.8,28.8,28.8
108,28.8,28.8,28.8,28.8
109,28.8,28.8,28.8,28.8
110,28.8,28.8,28.8,28.8
111,28.8,28.8,28.8,28.8
112,28.8,28.8,28.8,28.8
113,28.8,28.8,28.8,28.8
114,28.8,28.8,28.8,28.8
115,28.8,28.8,28.8,28.8
116,28.8,28.8,28.8,28.8
117,28.8,28.8,28.8,28.8
118,28.8,28.8,28.8,28.8
119,28.8,28.8,28.8,28.8
120,28.8,28.8,28.8,28.8
121,28.8,28.8,28.8,28.7
122,28.8,28.8,28.7,28.6
123,28.8,28.7,28.6,28.1
124,28.7,28.6,28.1,27.4
125,28.6,28.1,27.4,26.5
126,28.1,27.4,26.5,26.5
127,27.4,26.5,26.5,26.4
128,26.5,26.5,26.4,26.4
129,26.5,26.4,26.4,26.1
130,26.4,26.4,26.1,26.0
131,26.4,26.1,26.0,26.3
132,26.1,26.0,26.3,26.2
133,26.0,26.3,26.2,26.1
134,26.3,26.2,26.1,26.0
135,26.2,26.1,26.0,26.1
136,26.1,26.0,26.1,26.1
137,26.0,26.1,26.1,26.1
138,26.1,26.1,26.1,26.0
139,26.1,26.1,26.0,26.0
140,26.1,26.0,26.0,26.0
141,26.0,26.0,26.0,25.9
142,26.0,26.0,25.9,25.9
143,26.0,25.9,25.9,26.1
144,25.9,25.9,26.1,26.0
145,25.9,26.1,26.0,25.7
146,26.1,26.0,25.7,25.7
147,26.0,25.7,25.7,25.7
148,25.7,25.7,25.7,25.5
149,25.7,25.7,25.5,25.6
150,25.7,25.5,25.6,25.5
151,25.5,25.6,25.5,25.5
152,25.6,25.5,25.5,25.4
153,25.5,25.5,25.4,25.9
154,25.5,25.4,25.9,26.7
155,25.4,25.9,26.7,27.1
156,25.9,26.7,27.1,27.4
157,26.7,27.1,27.4,27.7
158,27.1,27.4,27.7,27.9
159,27.4,27.7,27.9,28.0
160,27.7,27.9,28.0,28.1
161,27.9,28.0,28.1,28.3
162,28.0,28.1,28.3,28.3
163,28.1,28.3,28.3,28.4
164,28.3,28.3,28.4,28.5
165,28.3,28.4,28.5,28.6
166,28.4,28.5,28.6,28.7
167,28.5,28.6,28.7,28.8
168,28.6,28.7,28.8,28.9
169,28.7,28.8,28.9,28.9
170,28.8,28.9,28.9,28.0
171,28.9,28.9,28.0,27.5
172,28.9,28.0,27.5,27.3
173,28.0,27.5,27.3,27.8
174,27.5,27.3,27.8,28.2
175,27.3,27.8,28.2,28.4
176,27.8,28.2,28.4,28.5
177,28.2,28.4,28.5,28.55
178,28.4,28.5,28.55,28.6
179,28.5,28.55,28.6,28.6
180,28.55,28.6,28.6,28.6
181,28.6,28.6,28.6,28.6
182,28.6,28.6,28.6,28.6
183,28.6,28.6,28.6,28.6
184,28.6,28.6,28.6,28.6
185,28.6,28.6,28.6,28.6
186,28.6,28.6,28.6,28.6
187,28.6,28.6,28.6,28.6
188,28.6,28.6,28.6,28.6
189,28.6,28.6,28.6,28.6
190,28.6,28.6,28.6,28.6
191,28.6,28.6,28.6,28.6
192,28.6,28.6,28.6,28.6
193,28.6,28.6,28.6,28.6
194,28.6,28.6,28.6,28.6
195,28.6,28.6,28.6,28.6
196,28.6,28.6,28.6,28.6
197,28.6,28.6,28.6,28.6
198,28.6,28.6,28.6,28.6
199,28.6,28.6,28.6,28.6
200,28.6,28.6,28.6,28.6
201,28.6,28.6,28.6,28.6
