,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,24.0,24.0,23.9,23.9
1,24.0,23.9,23.9,23.9
2,23.9,23.9,23.9,23.9
3,23.9,23.9,23.9,23.8
4,23.9,23.9,23.8,23.8
5,23.9,23.8,23.8,23.8
6,23.8,23.8,23.8,23.8
7,23.8,23.8,23.8,23.8
8,23.8,23.8,23.8,23.7
9,23.8,23.8,23.7,23.7
10,23.8,23.7,23.7,23.7
11,23.7,23.7,23.7,23.7
12,23.7,23.7,23.7,23.7
13,23.7,23.7,23.7,23.6
14,23.7,23.7,23.6,23.6
15,23.7,23.6,23.6,23.6
16,23.6,23.6,23.6,23.5
17,23.6,23.6,23.5,23.6
18,23.6,23.5,23.6,23.5
19,23.5,23.6,23.5,23.5
20,23.6,23.5,23.5,23.5
21,23.5,23.5,23.5,23.5
22,23.5,23.5,23.5,23.5
23,23.5,23.5,23.5,23.5
24,23.5,23.5,23.5,23.4
25,23.5,23.5,23.4,23.4
26,23.5,23.4,23.4,22.8
27,23.4,23.4,22.8,23.2
28,23.4,22.8,23.2,22.9
29,22.8,23.2,22.9,23.0
30,23.2,22.9,23.0,23.0
31,22.9,23.0,23.0,23.1
32,23.0,23.0,23.1,23.2
33,23.0,23.1,23.2,23.35
34,23.1,23.2,23.35,23.5
35,23.2,23.35,23.5,23.6
36,23.35,23.5,23.6,23.6
37,23.5,23.6,23.6,23.5
38,23.6,23.6,23.5,23.6
39,23.6,23.5,23.6,23.9
40,23.5,23.6,23.9,24.0
41,23.6,23.9,24.0,24.1
42,23.9,24.0,24.1,24.2
43,24.0,24.1,24.2,24.4
44,24.1,24.2,24.4,24.4
45,24.2,24.4,24.4,24.3
46,24.4,24.4,24.3,24.4
47,24.4,24.3,24.4,24.4
48,24.3,24.4,24.4,24.5
49,24.4,24.4,24.5,24.6
50,24.4,24.5,24.6,24.6
51,24.5,24.6,24.6,24.7
52,24.6,24.6,24.7,24.7
53,24.6,24.7,24.7,24.8
54,24.7,24.7,24.8,24.9
55,24.7,24.8,24.9,25.2
56,24.8,24.9,25.2,25.5
57,24.9,25.2,25.5,25.4
58,25.2,25.5,25.4,25.1
59,25.5,25.4,25.1,24.7
60,25.4,25.1,24.7,24.4
61,25.1,24.7,24.4,24.0
62,24.7,24.4,24.0,23.7
63,24.4,24.0,23.7,23.7
64,24.0,23.7,23.7,23.5
65,23.7,23.7,23.5,23.4
66,23.7,23.5,23.4,23.1
67,23.5,23.4,23.1,23.5
68,23.4,23.1,23.5,23.7
69,23.1,23.5,23.7,23.8
70,23.5,23.7,23.8,23.8
71,23.7,23.8,23.8,23.8
72,23.8,23.8,23.8,23.8
73,23.8,23.8,23.8,23.7
74,23.8,23.8,23.7,23.7
75,23.8,23.7,23.7,23.8
76,23.7,23.7,23.8,23.9
77,23.7,23.8,23.9,23.9
78,23.8,23.9,23.9,23.9
79,23.9,23.9,23.9,23.8
80,23.9,23.9,23.8,23.8
81,23.9,23.8,23.8,23.7
82,23.8,23.8,23.7,23.7
83,23.8,23.7,23.7,23.7
84,23.7,23.7,23.7,23.7
85,23.7,23.7,23.7,23.6
86,23.7,23.7,23.6,23.6
87,23.7,23.6,23.6,23.6
88,23.6,23.6,23.6,23.6
89,23.6,23.6,23.6,23.6
90,23.6,23.6,23.6,23.5
91,23.6,23.6,23.5,23.5
92,23.6,23.5,23.5,23.5
93,23.5,23.5,23.5,23.5
94,23.5,23.5,23.5,23.4
95,23.5,23.5,23.4,23.4
96,23.5,23.4,23.4,23.4
97,23.4,23.4,23.4,23.3
98,23.4,23.4,23.3,23.3
99,23.4,23.3,23.3,23.3
100,23.3,23.3,23.3,23.2
101,23.3,23.3,23.2,23.2
102,23.3,23.2,23.2,23.2
103,23.2,23.2,23.2,23.2
104,23.2,23.2,23.2,23.2
105,23.2,23.2,23.2,23.1
106,23.2,23.2,23.1,23.1
107,23.2,23.1,23.1,23.1
108,23.1,23.1,23.1,23.1
109,23.1,23.1,23.1,23.05
110,23.1,23.1,23.05,23.0
111,23.1,23.05,23.0,23.0
112,23.05,23.0,23.0,23.0
113,23.0,23.0,23.0,23.0
114,23.0,23.0,23.0,22.9
115,23.0,23.0,22.9,22.9
116,23.0,22.9,22.9,22.9
117,22.9,22.9,22.9,22.9
118,22.9,22.9,22.9,22.9
119,22.9,22.9,22.9,22.8
120,22.9,22.9,22.8,22.8
