,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,23.65,23.6,23.5,23.5
1,23.6,23.5,23.5,23.5
2,23.5,23.5,23.5,23.4
3,23.5,23.5,23.4,23.4
4,23.5,23.4,23.4,23.3
5,23.4,23.4,23.3,23.3
6,23.4,23.3,23.3,23.3
7,23.3,23.3,23.3,23.2
8,23.3,23.3,23.2,23.2
9,23.3,23.2,23.2,23.1
10,23.2,23.2,23.1,23.1
11,23.2,23.1,23.1,23.1
12,23.1,23.1,23.1,23.0
13,23.1,23.1,23.0,23.0
14,23.1,23.0,23.0,23.0
15,23.0,23.0,23.0,23.0
16,23.0,23.0,23.0,22.9
17,23.0,23.0,22.9,22.9
18,23.0,22.9,22.9,22.9
19,22.9,22.9,22.9,22.8
20,22.9,22.9,22.8,22.8
21,22.9,22.8,22.8,22.8
22,22.8,22.8,22.8,22.7
23,22.8,22.8,22.7,22.7
24,22.8,22.7,22.7,22.7
25,22.7,22.7,22.7,22.7
26,22.7,22.7,22.7,22.1
27,22.7,22.7,22.1,22.8
28,22.7,22.1,22.8,22.5
29,22.1,22.8,22.5,22.4
30,22.8,22.5,22.4,22.9
31,22.5,22.4,22.9,23.3
32,22.4,22.9,23.3,23.3
33,22.9,23.3,23.3,23.6
34,23.3,23.3,23.6,23.9
35,23.3,23.6,23.9,24.2
36,23.6,23.9,24.2,24.1
37,23.9,24.2,24.1,24.3
38,24.2,24.1,24.3,24.3
39,24.1,24.3,24.3,24.5
40,24.3,24.3,24.5,24.8
41,24.3,24.5,24.8,24.8
42,24.5,24.8,24.8,25.0
43,24.8,24.8,25.0,25.2
44,24.8,25.0,25.2,25.3
45,25.0,25.2,25.3,25.1
46,25.2,25.3,25.1,25.3
47,25.3,25.1,25.3,25.5
48,25.1,25.3,25.5,25.4
49,25.3,25.5,25.4,25.5
50,25.5,25.4,25.5,25.6
51,25.4,25.5,25.6,25.2
52,25.5,25.6,25.2,25.1
53,25.6,25.2,25.1,25.1
54,25.2,25.1,25.1,25.0
55,25.1,25.1,25.0,25.1
56,25.1,25.0,25.1,25.1
57,25.0,25.1,25.1,25.0
58,25.1,25.1,25.0,25.1
59,25.1,25.0,25.1,25.0
60,25.0,25.1,25.0,24.9
61,25.1,25.0,24.9,24.8
62,25.0,24.9,24.8,24.8
63,24.9,24.8,24.8,24.8
64,24.8,24.8,24.8,24.7
65,24.8,24.8,24.7,24.7
66,24.8,24.7,24.7,24.6
67,24.7,24.7,24.6,24.5
68,24.7,24.6,24.5,24.4
69,24.6,24.5,24.4,24.4
70,24.5,24.4,24.4,24.3
71,24.4,24.4,24.3,24.2
72,24.4,24.3,24.2,24.1
73,24.3,24.2,24.1,24.4
74,24.2,24.1,24.4,24.5
75,24.1,24.4,24.5,24.6
76,24.4,24.5,24.6,24.6
77,24.5,24.6,24.6,24.7
78,24.6,24.6,24.7,24.7
79,24.6,24.7,24.7,24.6
80,24.7,24.7,24.6,24.5
81,24.7,24.6,24.5,24.5
82,24.6,24.5,24.5,24.4
83,24.5,24.5,24.4,24.4
84,24.5,24.4,24.4,24.3
85,24.4,24.4,24.3,24.2
86,24.4,24.3,24.2,24.2
87,24.3,24.2,24.2,24.1
88,24.2,24.2,24.1,24.0
89,24.2,24.1,24.0,24.0
90,24.1,24.0,24.0,23.9
91,24.0,24.0,23.9,23.8
92,24.0,23.9,23.8,23.8
93,23.9,23.8,23.8,23.7
94,23.8,23.8,23.7,23.7
95,23.8,23.7,23.7,23.6
96,23.7,23.7,23.6,23.6
97,23.7,23.6,23.6,23.5
98,23.6,23.6,23.5,23.5
99,23.6,23.5,23.5,23.5
100,23.5,23.5,23.5,23.4
101,23.5,23.5,23.4,23.4
102,23.5,23.4,23.4,23.4
103,23.4,23.4,23.4,23.3
104,23.4,23.4,23.3,23.3
105,23.4,23.3,23.3,23.3
106,23.3,23.3,23.3,23.3
107,23.3,23.3,23.3,23.2
108,23.3,23.3,23.2,23.2
109,23.3,23.2,23.2,23.2
110,23.2,23.2,23.2,23.1
111,23.2,23.2,23.1,23.1
112,23.2,23.1,23.1,23.1
113,23.1,23.1,23.1,23.1
114,23.1,23.1,23.1,23.0
115,23.1,23.1,23.0,23.0
116,23.1,23.0,23.0,23.0
117,23.0,23.0,23.0,23.0
118,23.0,23.0,23.0,23.0
119,23.0,23.0,23.0,22.9
120,23.0,23.0,22.9,22.9
121,23.0,22.9,22.9,22.9
122,22.9,22.9,22.9,22.2
123,22.9,22.9,22.2,22.6
124,22.9,22.2,22.6,22.9
125,22.2,22.6,22.9,22.5
126,22.6,22.9,22.5,22.6
127,22.9,22.5,22.6,22.7
128,22.5,22.6,22.7,23.0
129,22.6,22.7,23.0,23.3
130,22.7,23.0,23.3,23.6
131,23.0,23.3,23.6,24.0
132,23.3,23.6,24.0,24.1
133,23.6,24.0,24.1,24.2
134,24.0,24.1,24.2,24.3
135,24.1,24.2,24.3,24.5
136,24.2,24.3,24.5,24.7
137,24.3,24.5,24.7,25.0
138,24.5,24.7,25.0,25.1
139,24.7,25.0,25.1,25.4
140,25.0,25.1,25.4,25.1
141,25.1,25.4,25.1,25.4
142,25.4,25.1,25.4,25.45
143,25.1,25.4,25.45,25.5
144,25.4,25.45,25.5,25.4
145,25.45,25.5,25.4,25.3
146,25.5,25.4,25.3,25.3
147,25.4,25.3,25.3,25.4
148,25.3,25.3,25.4,25.5
149,25.3,25.4,25.5,25.6
150,25.4,25.5,25.6,25.5
151,25.5,25.6,25.5,25.4
152,25.6,25.5,25.4,25.1
153,25.5,25.4,25.1,25.1
154,25.4,25.1,25.1,24.9
155,25.1,25.1,24.9,25.0
156,25.1,24.9,25.0,24.8
157,24.9,25.0,24.8,24.5
158,25.0,24.8,24.5,24.5
159,24.8,24.5,24.5,24.5
160,24.5,24.5,24.5,24.5
161,24.5,24.5,24.5,24.4
162,24.5,24.5,24.4,24.3
163,24.5,24.4,24.3,24.2
164,24.4,24.3,24.2,24.2
165,24.3,24.2,24.2,24.0
166,24.2,24.2,24.0,24.1
167,24.2,24.0,24.1,24.0
168,24.0,24.1,24.0,23.9
169,24.1,24.0,23.9,24.2
170,24.0,23.9,24.2,24.0
171,23.9,24.2,24.0,24.1
172,24.2,24.0,24.1,24.1
173,24.0,24.1,24.1,24.1
174,24.1,24.1,24.1,24.0
175,24.1,24.1,24.0,24.0
176,24.1,24.0,24.0,24.0
177,24.0,24.0,24.0,23.9
178,24.0,24.0,23.9,23.9
179,24.0,23.9,23.9,23.9
180,23.9,23.9,23.9,23.9
181,23.9,23.9,23.9,23.8
182,23.9,23.9,23.8,23.8
183,23.9,23.8,23.8,23.8
184,23.8,23.8,23.8,23.7
185,23.8,23.8,23.7,23.7
186,23.8,23.7,23.7,23.6
187,23.7,23.7,23.6,23.6
188,23.7,23.6,23.6,23.5
189,23.6,23.6,23.5,23.5
190,23.6,23.5,23.5,23.5
191,23.5,23.5,23.5,23.5
192,23.5,23.5,23.5,23.6
193,23.5,23.5,23.6,23.6
194,23.5,23.6,23.6,23.6
195,23.6,23.6,23.6,23.6
196,23.6,23.6,23.6,23.6
197,23.6,23.6,23.6,23.6
198,23.6,23.6,23.6,23.5
199,23.6,23.6,23.5,23.5
200,23.6,23.5,23.5,23.5
201,23.5,23.5,23.5,23.5
202,23.5,23.5,23.5,23.5
203,23.5,23.5,23.5,23.5
204,23.5,23.5,23.5,23.4
205,23.5,23.5,23.4,23.4
206,23.5,23.4,23.4,23.4
207,23.4,23.4,23.4,23.4
208,23.4,23.4,23.4,23.4
209,23.4,23.4,23.4,23.4
210,23.4,23.4,23.4,23.3
211,23.4,23.4,23.3,23.3
212,23.4,23.3,23.3,23.3
213,23.3,23.3,23.3,23.3
214,23.3,23.3,23.3,23.3
215,23.3,23.3,23.3,23.2
216,23.3,23.3,23.2,23.2
217,23.3,23.2,23.2,23.3
218,23.2,23.2,23.3,22.7
219,23.2,23.3,22.7,23.0
220,23.3,22.7,23.0,22.95
221,22.7,23.0,22.95,22.9
222,23.0,22.95,22.9,22.9
223,22.95,22.9,22.9,23.1
224,22.9,22.9,23.1,23.6
225,22.9,23.1,23.6,23.4
226,23.1,23.6,23.4,23.6
227,23.6,23.4,23.6,23.8
228,23.4,23.6,23.8,24.0
229,23.6,23.8,24.0,24.0
230,23.8,24.0,24.0,24.1
231,24.0,24.0,24.1,24.3
232,24.0,24.1,24.3,24.3
233,24.1,24.3,24.3,24.5
234,24.3,24.3,24.5,24.8
235,24.3,24.5,24.8,24.8
236,24.5,24.8,24.8,24.9
237,24.8,24.8,24.9,25.1
238,24.8,24.9,25.1,25.1
239,24.9,25.1,25.1,25.2
240,25.1,25.1,25.2,25.3
241,25.1,25.2,25.3,25.4
242,25.2,25.3,25.4,25.5
243,25.3,25.4,25.5,25.6
244,25.4,25.5,25.6,25.7
245,25.5,25.6,25.7,25.6
246,25.6,25.7,25.6,25.7
247,25.7,25.6,25.7,25.9
248,25.6,25.7,25.9,25.9
249,25.7,25.9,25.9,25.9
250,25.9,25.9,25.9,25.8
251,25.9,25.9,25.8,25.6
252,25.9,25.8,25.6,25.4
253,25.8,25.6,25.4,25.2
254,25.6,25.4,25.2,24.9
255,25.4,25.2,24.9,24.6
256,25.2,24.9,24.6,24.3
257,24.9,24.6,24.3,24.2
258,24.6,24.3,24.2,24.1
259,24.3,24.2,24.1,24.0
260,24.2,24.1,24.0,23.8
261,24.1,24.0,23.8,23.7
262,24.0,23.8,23.7,23.6
263,23.8,23.7,23.6,23.5
264,23.7,23.6,23.5,23.3
265,23.6,23.5,23.3,23.5
266,23.5,23.3,23.5,23.5
267,23.3,23.5,23.5,23.6
268,23.5,23.5,23.6,23.6
269,23.5,23.6,23.6,23.6
270,23.6,23.6,23.6,23.6
271,23.6,23.6,23.6,23.6
272,23.6,23.6,23.6,23.6
273,23.6,23.6,23.6,23.6
274,23.6,23.6,23.6,23.6
275,23.6,23.6,23.6,23.6
276,23.6,23.6,23.6,23.5
277,23.6,23.6,23.5,23.5
278,23.6,23.5,23.5,23.5
279,23.5,23.5,23.5,23.5
280,23.5,23.5,23.5,23.5
281,23.5,23.5,23.5,23.5
282,23.5,23.5,23.5,23.4
283,23.5,23.5,23.4,23.4
284,23.5,23.4,23.4,23.4
285,23.4,23.4,23.4,23.3
286,23.4,23.4,23.3,23.3
287,23.4,23.3,23.3,23.2
288,23.3,23.3,23.2,23.2
289,23.3,23.2,23.2,23.1
290,23.2,23.2,23.1,23.1
291,23.2,23.1,23.1,23.0
292,23.1,23.1,23.0,23.0
293,23.1,23.0,23.0,22.9
294,23.0,23.0,22.9,22.9
295,23.0,22.9,22.9,22.9
296,22.9,22.9,22.9,22.85
297,22.9,22.9,22.85,22.8
298,22.9,22.85,22.8,22.8
299,22.85,22.8,22.8,22.8
300,22.8,22.8,22.8,22.8
301,22.8,22.8,22.8,22.7
302,22.8,22.8,22.7,22.7
303,22.8,22.7,22.7,22.7
304,22.7,22.7,22.7,22.7
305,22.7,22.7,22.7,22.7
306,22.7,22.7,22.7,22.7
307,22.7,22.7,22.7,22.7
308,22.7,22.7,22.7,22.6
309,22.7,22.7,22.6,22.6
310,22.7,22.6,22.6,22.6
311,22.6,22.6,22.6,22.6
312,22.6,22.6,22.6,22.5
313,22.6,22.6,22.5,22.5
314,22.6,22.5,22.5,22.5
315,22.5,22.5,22.5,22.4
316,22.5,22.5,22.4,22.2
317,22.5,22.4,22.2,22.1
318,22.4,22.2,22.1,22.0
319,22.2,22.1,22.0,21.9
320,22.1,22.0,21.9,21.9
321,22.0,21.9,21.9,21.8
322,21.9,21.9,21.8,21.8
323,21.9,21.8,21.8,21.8
324,21.8,21.8,21.8,21.7
