Date,Flexibility,Ph moved
2020-02-26 07:00:00,2.0,12429.0
2020-02-26 07:15:00,2.0,17209.0
2020-02-26 07:30:00,0.0,0.0
2020-02-26 07:45:00,0.0,0.0
2020-02-26 08:00:00,0.0,0.0
2020-02-26 08:15:00,0.0,0.0
2020-02-26 08:30:00,0.0,0.0
2020-02-26 10:30:00,10.0,40964.0
2020-02-26 10:45:00,12.0,50703.0
2020-02-26 11:00:00,14.0,51762.0
2020-02-26 11:15:00,17.0,53049.0
2020-02-26 11:30:00,13.0,42183.0
2020-02-26 11:45:00,14.0,42722.0
2020-02-26 12:00:00,17.0,34371.0
2020-02-26 12:15:00,9.0,27254.0
2020-02-26 12:30:00,11.0,28033.0
2020-02-26 12:45:00,16.0,25682.0
2020-02-26 13:00:00,14.0,21803.0
2020-02-26 13:15:00,14.0,18014.0
2020-02-26 13:30:00,17.0,14245.0
2020-02-26 13:45:00,19.0,10495.0
2020-02-26 14:00:00,19.0,6716.0
2020-02-26 14:45:00,0.0,0.0
2020-02-26 15:00:00,0.0,0.0
2020-02-26 15:15:00,0.0,0.0
