,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,23.4,23.4,23.4,23.4
1,23.4,23.4,23.4,23.4
2,23.4,23.4,23.4,23.3
3,23.4,23.4,23.3,23.3
4,23.4,23.3,23.3,23.3
5,23.3,23.3,23.3,23.3
6,23.3,23.3,23.3,23.3
7,23.3,23.3,23.3,23.3
8,23.3,23.3,23.3,23.3
9,23.3,23.3,23.3,23.3
10,23.3,23.3,23.3,23.3
11,23.3,23.3,23.3,23.2
12,23.3,23.3,23.2,23.2
13,23.3,23.2,23.2,23.2
14,23.2,23.2,23.2,23.2
15,23.2,23.2,23.2,23.2
16,23.2,23.2,23.2,23.2
17,23.2,23.2,23.2,23.1
18,23.2,23.2,23.1,23.1
19,23.2,23.1,23.1,23.1
20,23.1,23.1,23.1,23.1
21,23.1,23.1,23.1,23.1
22,23.1,23.1,23.1,23.1
23,23.1,23.1,23.1,23.0
24,23.1,23.1,23.0,23.0
25,23.1,23.0,23.0,23.0
26,23.0,23.0,23.0,23.0
27,23.0,23.0,23.0,23.0
28,23.0,23.0,23.0,22.9
29,23.0,23.0,22.9,22.8
30,23.0,22.9,22.8,22.7
31,22.9,22.8,22.7,22.7
32,22.8,22.7,22.7,22.7
33,22.7,22.7,22.7,22.7
34,22.7,22.7,22.7,22.8
35,22.7,22.7,22.8,22.8
36,22.7,22.8,22.8,22.8
37,22.8,22.8,22.8,22.9
38,22.8,22.8,22.9,22.9
39,22.8,22.9,22.9,23.0
40,22.9,22.9,23.0,23.0
41,22.9,23.0,23.0,23.1
42,23.0,23.0,23.1,23.2
43,23.0,23.1,23.2,23.3
44,23.1,23.2,23.3,23.4
45,23.2,23.3,23.4,23.4
46,23.3,23.4,23.4,23.5
47,23.4,23.4,23.5,23.6
48,23.4,23.5,23.6,23.6
49,23.5,23.6,23.6,23.7
50,23.6,23.6,23.7,23.7
51,23.6,23.7,23.7,23.7
52,23.7,23.7,23.7,23.7
53,23.7,23.7,23.7,23.7
54,23.7,23.7,23.7,23.9
55,23.7,23.7,23.9,23.9
56,23.7,23.9,23.9,23.9
57,23.9,23.9,23.9,23.9
58,23.9,23.9,23.9,23.9
59,23.9,23.9,23.9,23.7
60,23.9,23.9,23.7,23.6
61,23.9,23.7,23.6,23.6
62,23.7,23.6,23.6,23.5
63,23.6,23.6,23.5,23.5
64,23.6,23.5,23.5,23.4
65,23.5,23.5,23.4,23.4
66,23.5,23.4,23.4,23.3
67,23.4,23.4,23.3,23.3
68,23.4,23.3,23.3,23.3
69,23.3,23.3,23.3,23.25
70,23.3,23.3,23.25,23.2
71,23.3,23.25,23.2,23.2
72,23.25,23.2,23.2,23.1
73,23.2,23.2,23.1,23.1
74,23.2,23.1,23.1,23.1
75,23.1,23.1,23.1,23.2
76,23.1,23.1,23.2,23.2
77,23.1,23.2,23.2,23.2
78,23.2,23.2,23.2,23.2
79,23.2,23.2,23.2,23.2
80,23.2,23.2,23.2,23.2
81,23.2,23.2,23.2,23.2
82,23.2,23.2,23.2,23.1
83,23.2,23.2,23.1,23.1
84,23.2,23.1,23.1,23.1
85,23.1,23.1,23.1,23.1
86,23.1,23.1,23.1,23.1
87,23.1,23.1,23.1,23.1
88,23.1,23.1,23.1,23.1
89,23.1,23.1,23.1,23.1
90,23.1,23.1,23.1,23.1
91,23.1,23.1,23.1,23.1
92,23.1,23.1,23.1,23.0
93,23.1,23.1,23.0,23.0
94,23.1,23.0,23.0,23.0
95,23.0,23.0,23.0,23.0
96,23.0,23.0,23.0,23.0
97,23.0,23.0,23.0,23.0
98,23.0,23.0,23.0,23.0
99,23.0,23.0,23.0,23.0
100,23.0,23.0,23.0,23.0
101,23.0,23.0,23.0,23.0
102,23.0,23.0,23.0,23.0
103,23.0,23.0,23.0,23.0
104,23.0,23.0,23.0,22.9
105,23.0,23.0,22.9,22.9
106,23.0,22.9,22.9,22.9
107,22.9,22.9,22.9,22.9
108,22.9,22.9,22.9,22.9
109,22.9,22.9,22.9,22.9
110,22.9,22.9,22.9,22.9
111,22.9,22.9,22.9,22.9
112,22.9,22.9,22.9,22.8
113,22.9,22.9,22.8,22.8
114,22.9,22.8,22.8,22.8
115,22.8,22.8,22.8,22.8
116,22.8,22.8,22.8,22.8
117,22.8,22.8,22.8,22.8
118,22.8,22.8,22.8,22.8
119,22.8,22.8,22.8,22.8
120,22.8,22.8,22.8,22.8
