,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,27.5,27.5,27.5,27.5
1,27.5,27.5,27.5,27.4
2,27.5,27.5,27.4,27.4
3,27.5,27.4,27.4,27.4
4,27.4,27.4,27.4,27.4
5,27.4,27.4,27.4,27.4
6,27.4,27.4,27.4,27.4
7,27.4,27.4,27.4,27.3
8,27.4,27.4,27.3,27.3
9,27.4,27.3,27.3,27.3
10,27.3,27.3,27.3,27.3
11,27.3,27.3,27.3,27.3
12,27.3,27.3,27.3,27.3
13,27.3,27.3,27.3,27.3
14,27.3,27.3,27.3,27.3
15,27.3,27.3,27.3,27.3
16,27.3,27.3,27.3,27.3
17,27.3,27.3,27.3,27.3
18,27.3,27.3,27.3,27.2
19,27.3,27.3,27.2,27.2
20,27.3,27.2,27.2,27.2
21,27.2,27.2,27.2,27.2
22,27.2,27.2,27.2,27.2
23,27.2,27.2,27.2,27.2
24,27.2,27.2,27.2,27.2
25,27.2,27.2,27.2,27.2
26,27.2,27.2,27.2,27.0
27,27.2,27.2,27.0,27.0
28,27.2,27.0,27.0,27.0
29,27.0,27.0,27.0,27.0
30,27.0,27.0,27.0,27.0
31,27.0,27.0,27.0,27.0
32,27.0,27.0,27.0,27.1
33,27.0,27.0,27.1,27.1
34,27.0,27.1,27.1,27.2
35,27.1,27.1,27.2,27.2
36,27.1,27.2,27.2,27.2
37,27.2,27.2,27.2,27.3
38,27.2,27.2,27.3,27.2
39,27.2,27.3,27.2,27.2
40,27.3,27.2,27.2,26.8
41,27.2,27.2,26.8,26.8
42,27.2,26.8,26.8,26.8
43,26.8,26.8,26.8,26.8
44,26.8,26.8,26.8,26.8
45,26.8,26.8,26.8,26.7
46,26.8,26.8,26.7,26.7
47,26.8,26.7,26.7,27.0
48,26.7,26.7,27.0,27.3
49,26.7,27.0,27.3,27.4
50,27.0,27.3,27.4,27.4
51,27.3,27.4,27.4,27.3
52,27.4,27.4,27.3,27.3
53,27.4,27.3,27.3,27.3
54,27.3,27.3,27.3,27.35
55,27.3,27.3,27.35,27.4
56,27.3,27.35,27.4,27.5
57,27.35,27.4,27.5,27.6
58,27.4,27.5,27.6,27.6
59,27.5,27.6,27.6,27.6
60,27.6,27.6,27.6,27.5
61,27.6,27.6,27.5,27.4
62,27.6,27.5,27.4,27.4
63,27.5,27.4,27.4,27.4
64,27.4,27.4,27.4,27.3
65,27.4,27.4,27.3,27.3
66,27.4,27.3,27.3,27.3
67,27.3,27.3,27.3,27.3
68,27.3,27.3,27.3,27.4
69,27.3,27.3,27.4,27.3
70,27.3,27.4,27.3,27.3
71,27.4,27.3,27.3,27.3
72,27.3,27.3,27.3,27.3
73,27.3,27.3,27.3,27.4
74,27.3,27.3,27.4,27.4
75,27.3,27.4,27.4,27.5
76,27.4,27.4,27.5,27.5
77,27.4,27.5,27.5,27.5
78,27.5,27.5,27.5,27.4
79,27.5,27.5,27.4,27.4
80,27.5,27.4,27.4,27.4
81,27.4,27.4,27.4,27.4
82,27.4,27.4,27.4,27.4
83,27.4,27.4,27.4,27.4
84,27.4,27.4,27.4,27.4
85,27.4,27.4,27.4,27.3
86,27.4,27.4,27.3,27.3
87,27.4,27.3,27.3,27.3
88,27.3,27.3,27.3,27.3
89,27.3,27.3,27.3,27.3
90,27.3,27.3,27.3,27.3
91,27.3,27.3,27.3,27.3
92,27.3,27.3,27.3,27.25
93,27.3,27.3,27.25,27.2
94,27.3,27.25,27.2,27.2
95,27.25,27.2,27.2,27.2
96,27.2,27.2,27.2,27.2
97,27.2,27.2,27.2,27.2
98,27.2,27.2,27.2,27.2
99,27.2,27.2,27.2,27.2
100,27.2,27.2,27.2,27.2
101,27.2,27.2,27.2,27.2
102,27.2,27.2,27.2,27.2
103,27.2,27.2,27.2,27.2
104,27.2,27.2,27.2,27.2
105,27.2,27.2,27.2,27.2
106,27.2,27.2,27.2,27.2
107,27.2,27.2,27.2,27.2
108,27.2,27.2,27.2,27.2
109,27.2,27.2,27.2,27.2
110,27.2,27.2,27.2,27.1
111,27.2,27.2,27.1,27.1
112,27.2,27.1,27.1,27.1
113,27.1,27.1,27.1,27.1
114,27.1,27.1,27.1,27.1
115,27.1,27.1,27.1,27.1
116,27.1,27.1,27.1,27.1
117,27.1,27.1,27.1,27.1
118,27.1,27.1,27.1,27.1
119,27.1,27.1,27.1,27.1
120,27.1,27.1,27.1,27.1
121,27.1,27.1,27.1,27.0
122,27.1,27.1,27.0,26.9
123,27.1,27.0,26.9,26.9
124,27.0,26.9,26.9,26.8
125,26.9,26.9,26.8,26.8
126,26.9,26.8,26.8,26.8
127,26.8,26.8,26.8,26.8
128,26.8,26.8,26.8,26.8
129,26.8,26.8,26.8,26.8
130,26.8,26.8,26.8,26.85
131,26.8,26.8,26.85,26.9
132,26.8,26.85,26.9,26.9
133,26.85,26.9,26.9,26.9
134,26.9,26.9,26.9,26.9
135,26.9,26.9,26.9,27.0
136,26.9,26.9,27.0,27.0
137,26.9,27.0,27.0,27.1
138,27.0,27.0,27.1,27.1
139,27.0,27.1,27.1,27.1
140,27.1,27.1,27.1,27.2
141,27.1,27.1,27.2,27.2
142,27.1,27.2,27.2,27.2
143,27.2,27.2,27.2,27.3
144,27.2,27.2,27.3,27.3
145,27.2,27.3,27.3,27.3
146,27.3,27.3,27.3,27.3
147,27.3,27.3,27.3,27.4
148,27.3,27.3,27.4,27.4
149,27.3,27.4,27.4,27.4
150,27.4,27.4,27.4,27.4
151,27.4,27.4,27.4,27.4
152,27.4,27.4,27.4,27.4
153,27.4,27.4,27.4,27.4
154,27.4,27.4,27.4,27.5
155,27.4,27.4,27.5,27.5
156,27.4,27.5,27.5,27.5
157,27.5,27.5,27.5,27.5
158,27.5,27.5,27.5,27.5
159,27.5,27.5,27.5,27.5
160,27.5,27.5,27.5,27.5
161,27.5,27.5,27.5,27.5
162,27.5,27.5,27.5,27.6
163,27.5,27.5,27.6,27.6
164,27.5,27.6,27.6,27.6
165,27.6,27.6,27.6,27.6
166,27.6,27.6,27.6,27.6
167,27.6,27.6,27.6,27.6
168,27.6,27.6,27.6,27.65
169,27.6,27.6,27.65,27.7
170,27.6,27.65,27.7,27.7
171,27.65,27.7,27.7,27.7
172,27.7,27.7,27.7,27.7
173,27.7,27.7,27.7,27.7
174,27.7,27.7,27.7,27.7
175,27.7,27.7,27.7,27.6
176,27.7,27.7,27.6,27.6
177,27.7,27.6,27.6,27.6
178,27.6,27.6,27.6,27.6
179,27.6,27.6,27.6,27.5
180,27.6,27.6,27.5,27.5
181,27.6,27.5,27.5,27.5
182,27.5,27.5,27.5,27.5
183,27.5,27.5,27.5,27.5
184,27.5,27.5,27.5,27.4
185,27.5,27.5,27.4,27.4
186,27.5,27.4,27.4,27.4
187,27.4,27.4,27.4,27.4
