Date,Flexibility,Ph moved
2019-07-26 07:15:00,-1.0,0.0
2019-07-26 07:30:00,-1.0,0.0
2019-07-26 07:45:00,-1.0,0.0
2019-07-26 08:00:00,8.0,68125.0
2019-07-26 08:15:00,8.0,68305.0
2019-07-26 08:30:00,8.0,67926.0
2019-07-26 08:45:00,8.0,67986.0
2019-07-26 09:00:00,8.0,68265.0
2019-07-26 09:15:00,8.0,70055.0
2019-07-26 09:30:00,7.0,60116.0
2019-07-26 09:45:00,7.0,61515.0
2019-07-26 10:00:00,7.0,62634.0
2019-07-26 10:15:00,8.0,73273.0
2019-07-26 10:30:00,7.0,63973.0
2019-07-26 10:45:00,8.0,80422.0
2019-07-26 11:00:00,8.0,85162.0
2019-07-26 11:15:00,8.0,84552.0
2019-07-26 11:30:00,8.0,83872.0
2019-07-26 11:45:00,9.0,93452.0
2019-07-26 12:00:00,9.0,87983.0
2019-07-26 12:15:00,8.0,77804.0
2019-07-26 12:30:00,9.0,82003.0
2019-07-26 12:45:00,9.0,81914.0
2019-07-26 13:00:00,9.0,71524.0
2019-07-26 13:15:00,9.0,70604.0
2019-07-26 13:30:00,9.0,64614.0
2019-07-26 13:45:00,9.0,58493.0
2019-07-26 14:00:00,9.0,48043.0
2019-07-26 14:15:00,8.0,43333.0
2019-07-26 14:30:00,9.0,38384.0
2019-07-26 14:45:00,9.0,28084.0
2019-07-26 15:00:00,8.0,17574.0
2019-07-26 15:15:00,9.0,24135.0
2019-07-26 15:30:00,8.0,14356.0
2019-07-26 15:45:00,9.0,16395.0
2019-07-26 16:00:00,7.0,10127.0
2019-07-26 16:45:00,-1.0,0.0
2019-07-26 17:00:00,-1.0,0.0
2019-07-26 17:15:00,-1.0,0.0
2019-07-26 17:30:00,-1.0,0.0
2019-07-26 17:45:00,-1.0,0.0
2019-07-26 18:00:00,-1.0,0.0
