Date,Flexibility,Ph moved
2019-07-24 07:00:00,0.0,0.0
2019-07-24 07:15:00,0.0,0.0
2019-07-24 07:30:00,0.0,0.0
2019-07-24 07:45:00,0.0,0.0
2019-07-24 08:00:00,8.0,69036.0
2019-07-24 08:15:00,11.0,103403.0
2019-07-24 08:30:00,10.0,94474.0
2019-07-24 08:45:00,9.0,88784.0
2019-07-24 09:00:00,8.0,82695.0
2019-07-24 09:15:00,8.0,83284.0
2019-07-24 09:30:00,7.0,74015.0
2019-07-24 09:45:00,7.0,74265.0
2019-07-24 10:00:00,7.0,75156.0
2019-07-24 10:15:00,6.0,64037.0
2019-07-24 10:30:00,6.0,65207.0
2019-07-24 10:45:00,6.0,64712.5
2019-07-24 11:00:00,6.0,63312.5
2019-07-24 11:15:00,6.0,62772.5
2019-07-24 11:30:00,6.0,61321.5
2019-07-24 11:45:00,7.0,69299.5
2019-07-24 12:00:00,6.0,58419.5
2019-07-24 12:15:00,7.0,66845.0
2019-07-24 12:30:00,7.0,66755.0
2019-07-24 12:45:00,6.0,56366.0
2019-07-24 13:00:00,6.0,56786.0
2019-07-24 13:15:00,6.0,57726.0
2019-07-24 13:30:00,7.0,58636.0
2019-07-24 13:45:00,6.0,49256.0
2019-07-24 14:00:00,7.0,45994.0
2019-07-24 14:15:00,7.0,48294.0
2019-07-24 14:30:00,7.0,40074.0
2019-07-24 14:45:00,7.0,39764.0
2019-07-24 15:00:00,7.0,36663.0
2019-07-24 15:15:00,5.0,29755.0
2019-07-24 15:30:00,3.0,16837.0
2019-07-24 15:45:00,2.0,13498.0
2019-07-24 16:00:00,5.0,24356.0
2019-07-24 16:15:00,6.0,23226.0
2019-07-24 16:30:00,7.0,18216.0
2019-07-24 16:45:00,8.0,11437.0
2019-07-24 17:00:00,8.0,5267.0
2019-07-24 17:30:00,2.0,5009.0
2019-07-24 17:45:00,0.0,0.0
2019-07-24 18:00:00,2.0,129.0
2019-07-24 19:30:00,0.0,0.0
2019-07-24 19:45:00,0.0,0.0
2019-07-24 20:00:00,4.0,17919.0
2019-07-24 20:15:00,38.0,16938.0
2019-07-24 20:30:00,37.0,11059.0
2019-07-24 20:45:00,36.0,6119.0
2019-07-24 21:00:00,35.0,119.0
