,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,26.5,26.5,26.5,26.5
1,26.5,26.5,26.5,26.5
2,26.5,26.5,26.5,26.4
3,26.5,26.5,26.4,26.4
4,26.5,26.4,26.4,26.4
5,26.4,26.4,26.4,26.4
6,26.4,26.4,26.4,26.4
7,26.4,26.4,26.4,26.4
8,26.4,26.4,26.4,26.4
9,26.4,26.4,26.4,26.3
10,26.4,26.4,26.3,26.3
11,26.4,26.3,26.3,26.3
12,26.3,26.3,26.3,26.3
13,26.3,26.3,26.3,26.3
14,26.3,26.3,26.3,26.2
15,26.3,26.3,26.2,26.2
16,26.3,26.2,26.2,26.2
17,26.2,26.2,26.2,26.2
18,26.2,26.2,26.2,26.2
19,26.2,26.2,26.2,26.2
20,26.2,26.2,26.2,26.2
21,26.2,26.2,26.2,26.1
22,26.2,26.2,26.1,26.1
23,26.2,26.1,26.1,26.1
24,26.1,26.1,26.1,26.1
25,26.1,26.1,26.1,26.05
26,26.1,26.1,26.05,26.0
27,26.1,26.05,26.0,26.0
28,26.05,26.0,26.0,25.3
29,26.0,26.0,25.3,25.2
30,26.0,25.3,25.2,25.3
31,25.3,25.2,25.3,25.5
32,25.2,25.3,25.5,25.7
33,25.3,25.5,25.7,25.8
34,25.5,25.7,25.8,25.7
35,25.7,25.8,25.7,25.8
36,25.8,25.7,25.8,25.8
37,25.7,25.8,25.8,25.9
38,25.8,25.8,25.9,25.8
39,25.8,25.9,25.8,25.9
40,25.9,25.8,25.9,25.9
41,25.8,25.9,25.9,25.8
42,25.9,25.9,25.8,25.8
43,25.9,25.8,25.8,25.8
44,25.8,25.8,25.8,25.9
45,25.8,25.8,25.9,25.8
46,25.8,25.9,25.8,26.0
47,25.9,25.8,26.0,25.8
48,25.8,26.0,25.8,25.8
49,26.0,25.8,25.8,25.9
50,25.8,25.8,25.9,25.7
51,25.8,25.9,25.7,25.9
52,25.9,25.7,25.9,25.8
53,25.7,25.9,25.8,25.8
54,25.9,25.8,25.8,25.9
55,25.8,25.8,25.9,25.9
56,25.8,25.9,25.9,25.9
57,25.9,25.9,25.9,26.0
58,25.9,25.9,26.0,25.9
59,25.9,26.0,25.9,25.6
60,26.0,25.9,25.6,25.6
61,25.9,25.6,25.6,25.6
62,25.6,25.6,25.6,25.8
63,25.6,25.6,25.8,25.75
64,25.6,25.8,25.75,25.7
65,25.8,25.75,25.7,25.9
66,25.75,25.7,25.9,25.9
67,25.7,25.9,25.9,25.7
68,25.9,25.9,25.7,25.9
69,25.9,25.7,25.9,25.6
70,25.7,25.9,25.6,25.9
71,25.9,25.6,25.9,26.0
72,25.6,25.9,26.0,26.0
73,25.9,26.0,26.0,26.3
74,26.0,26.0,26.3,26.6
75,26.0,26.3,26.6,26.7
76,26.3,26.6,26.7,26.7
77,26.6,26.7,26.7,26.4
