,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,24.1,24.2,24.2,24.2
1,24.2,24.2,24.2,24.1
2,24.2,24.2,24.1,24.1
3,24.2,24.1,24.1,24.1
4,24.1,24.1,24.1,24.1
5,24.1,24.1,24.1,24.1
6,24.1,24.1,24.1,24.1
7,24.1,24.1,24.1,24.1
8,24.1,24.1,24.1,24.1
9,24.1,24.1,24.1,24.0
10,24.1,24.1,24.0,24.0
11,24.1,24.0,24.0,24.0
12,24.0,24.0,24.0,24.0
13,24.0,24.0,24.0,24.0
14,24.0,24.0,24.0,24.0
15,24.0,24.0,24.0,24.0
16,24.0,24.0,24.0,23.95
17,24.0,24.0,23.95,23.9
18,24.0,23.95,23.9,23.9
19,23.95,23.9,23.9,23.9
20,23.9,23.9,23.9,23.9
21,23.9,23.9,23.9,23.9
22,23.9,23.9,23.9,23.9
23,23.9,23.9,23.9,23.8
24,23.9,23.9,23.8,23.8
25,23.9,23.8,23.8,23.8
26,23.8,23.8,23.8,23.8
27,23.8,23.8,23.8,23.7
28,23.8,23.8,23.7,23.6
29,23.8,23.7,23.6,23.5
30,23.7,23.6,23.5,23.4
31,23.6,23.5,23.4,23.4
32,23.5,23.4,23.4,23.4
33,23.4,23.4,23.4,23.4
34,23.4,23.4,23.4,23.4
35,23.4,23.4,23.4,23.4
36,23.4,23.4,23.4,23.5
37,23.4,23.4,23.5,23.6
38,23.4,23.5,23.6,23.7
39,23.5,23.6,23.7,23.8
40,23.6,23.7,23.8,23.9
41,23.7,23.8,23.9,24.0
42,23.8,23.9,24.0,24.1
43,23.9,24.0,24.1,24.2
44,24.0,24.1,24.2,24.25
45,24.1,24.2,24.25,24.3
46,24.2,24.25,24.3,24.4
47,24.25,24.3,24.4,24.4
48,24.3,24.4,24.4,24.45
49,24.4,24.4,24.45,24.5
50,24.4,24.45,24.5,24.5
51,24.45,24.5,24.5,24.6
52,24.5,24.5,24.6,24.6
53,24.5,24.6,24.6,24.6
54,24.6,24.6,24.6,24.7
55,24.6,24.6,24.7,24.8
56,24.6,24.7,24.8,24.8
57,24.7,24.8,24.8,24.8
58,24.8,24.8,24.8,24.8
59,24.8,24.8,24.8,24.6
60,24.8,24.8,24.6,24.5
61,24.8,24.6,24.5,24.4
62,24.6,24.5,24.4,24.3
63,24.5,24.4,24.3,24.3
64,24.4,24.3,24.3,24.2
65,24.3,24.3,24.2,24.2
66,24.3,24.2,24.2,24.1
67,24.2,24.2,24.1,24.1
68,24.2,24.1,24.1,24.1
69,24.1,24.1,24.1,24.0
70,24.1,24.1,24.0,24.0
71,24.1,24.0,24.0,23.9
72,24.0,24.0,23.9,23.9
73,24.0,23.9,23.9,23.9
74,23.9,23.9,23.9,23.8
75,23.9,23.9,23.8,23.9
76,23.9,23.8,23.9,24.0
77,23.8,23.9,24.0,24.0
78,23.9,24.0,24.0,24.0
79,24.0,24.0,24.0,23.9
80,24.0,24.0,23.9,23.9
81,24.0,23.9,23.9,23.9
82,23.9,23.9,23.9,23.9
83,23.9,23.9,23.9,23.9
84,23.9,23.9,23.9,23.9
85,23.9,23.9,23.9,23.9
86,23.9,23.9,23.9,23.9
87,23.9,23.9,23.9,23.8
88,23.9,23.9,23.8,23.8
89,23.9,23.8,23.8,23.8
90,23.8,23.8,23.8,23.8
91,23.8,23.8,23.8,23.8
92,23.8,23.8,23.8,23.8
93,23.8,23.8,23.8,23.75
94,23.8,23.8,23.75,23.7
95,23.8,23.75,23.7,23.6
96,23.75,23.7,23.6,23.5
97,23.7,23.6,23.5,23.5
98,23.6,23.5,23.5,23.5
99,23.5,23.5,23.5,23.4
100,23.5,23.5,23.4,23.4
101,23.5,23.4,23.4,23.4
102,23.4,23.4,23.4,23.4
103,23.4,23.4,23.4,23.4
104,23.4,23.4,23.4,23.4
105,23.4,23.4,23.4,23.3
106,23.4,23.4,23.3,23.3
107,23.4,23.3,23.3,23.3
108,23.3,23.3,23.3,23.3
109,23.3,23.3,23.3,23.3
110,23.3,23.3,23.3,23.3
111,23.3,23.3,23.3,23.3
112,23.3,23.3,23.3,23.3
113,23.3,23.3,23.3,23.3
114,23.3,23.3,23.3,23.3
115,23.3,23.3,23.3,23.3
116,23.3,23.3,23.3,23.2
117,23.3,23.3,23.2,23.3
118,23.3,23.2,23.3,23.3
119,23.2,23.3,23.3,23.3
120,23.3,23.3,23.3,23.3
121,23.3,23.3,23.3,23.3
122,23.3,23.3,23.3,23.2
123,23.3,23.3,23.2,23.3
124,23.3,23.2,23.3,23.1
125,23.2,23.3,23.1,23.0
126,23.3,23.1,23.0,23.0
127,23.1,23.0,23.0,23.0
128,23.0,23.0,23.0,23.0
129,23.0,23.0,23.0,23.0
130,23.0,23.0,23.0,23.0
131,23.0,23.0,23.0,23.05
132,23.0,23.0,23.05,23.1
133,23.0,23.05,23.1,23.2
134,23.05,23.1,23.2,23.2
135,23.1,23.2,23.2,23.2
136,23.2,23.2,23.2,23.3
137,23.2,23.2,23.3,23.3
138,23.2,23.3,23.3,23.3
139,23.3,23.3,23.3,23.2
140,23.3,23.3,23.2,23.2
141,23.3,23.2,23.2,23.2
142,23.2,23.2,23.2,23.2
143,23.2,23.2,23.2,23.2
144,23.2,23.2,23.2,23.2
145,23.2,23.2,23.2,23.2
146,23.2,23.2,23.2,23.2
147,23.2,23.2,23.2,23.1
148,23.2,23.2,23.1,23.1
149,23.2,23.1,23.1,23.1
150,23.1,23.1,23.1,23.2
151,23.1,23.1,23.2,23.3
152,23.1,23.2,23.3,23.3
153,23.2,23.3,23.3,23.3
154,23.3,23.3,23.3,23.3
155,23.3,23.3,23.3,23.2
156,23.3,23.3,23.2,23.2
157,23.3,23.2,23.2,23.2
158,23.2,23.2,23.2,23.2
159,23.2,23.2,23.2,23.2
160,23.2,23.2,23.2,23.1
161,23.2,23.2,23.1,23.1
162,23.2,23.1,23.1,23.1
163,23.1,23.1,23.1,23.1
164,23.1,23.1,23.1,23.1
165,23.1,23.1,23.1,23.1
166,23.1,23.1,23.1,23.1
167,23.1,23.1,23.1,23.0
168,23.1,23.1,23.0,23.0
169,23.1,23.0,23.0,23.0
170,23.0,23.0,23.0,23.0
171,23.0,23.0,23.0,23.1
172,23.0,23.0,23.1,23.1
173,23.0,23.1,23.1,23.1
174,23.1,23.1,23.1,23.1
175,23.1,23.1,23.1,23.1
176,23.1,23.1,23.1,23.1
177,23.1,23.1,23.1,23.1
178,23.1,23.1,23.1,23.1
179,23.1,23.1,23.1,23.1
180,23.1,23.1,23.1,23.1
181,23.1,23.1,23.1,23.0
182,23.1,23.1,23.0,23.0
183,23.1,23.0,23.0,23.0
184,23.0,23.0,23.0,23.0
185,23.0,23.0,23.0,23.0
186,23.0,23.0,23.0,23.0
187,23.0,23.0,23.0,23.0
188,23.0,23.0,23.0,23.0
189,23.0,23.0,23.0,22.95
190,23.0,23.0,22.95,22.9
191,23.0,22.95,22.9,22.9
192,22.95,22.9,22.9,22.9
193,22.9,22.9,22.9,22.9
194,22.9,22.9,22.9,22.9
195,22.9,22.9,22.9,22.9
196,22.9,22.9,22.9,22.9
197,22.9,22.9,22.9,22.9
198,22.9,22.9,22.9,22.9
199,22.9,22.9,22.9,22.8
200,22.9,22.9,22.8,22.9
201,22.9,22.8,22.9,22.8
202,22.8,22.9,22.8,22.8
203,22.9,22.8,22.8,22.8
204,22.8,22.8,22.8,22.8
205,22.8,22.8,22.8,22.8
206,22.8,22.8,22.8,22.8
207,22.8,22.8,22.8,22.8
208,22.8,22.8,22.8,22.8
209,22.8,22.8,22.8,22.8
210,22.8,22.8,22.8,22.8
211,22.8,22.8,22.8,22.8
212,22.8,22.8,22.8,22.8
213,22.8,22.8,22.8,22.8
214,22.8,22.8,22.8,22.8
215,22.8,22.8,22.8,22.8
216,22.8,22.8,22.8,22.8
217,22.8,22.8,22.8,22.7
218,22.8,22.8,22.7,22.1
219,22.8,22.7,22.1,22.4
220,22.7,22.1,22.4,22.3
221,22.1,22.4,22.3,22.9
222,22.4,22.3,22.9,22.8
223,22.3,22.9,22.8,22.8
224,22.9,22.8,22.8,23.3
225,22.8,22.8,23.3,23.6
226,22.8,23.3,23.6,23.4
227,23.3,23.6,23.4,23.4
228,23.6,23.4,23.4,23.6
229,23.4,23.4,23.6,23.6
230,23.4,23.6,23.6,23.6
231,23.6,23.6,23.6,23.8
232,23.6,23.6,23.8,24.1
233,23.6,23.8,24.1,24.2
234,23.8,24.1,24.2,24.4
235,24.1,24.2,24.4,24.4
236,24.2,24.4,24.4,24.5
237,24.4,24.4,24.5,24.5
238,24.4,24.5,24.5,24.7
239,24.5,24.5,24.7,24.7
240,24.5,24.7,24.7,24.9
241,24.7,24.7,24.9,25.0
242,24.7,24.9,25.0,25.0
243,24.9,25.0,25.0,25.1
244,25.0,25.0,25.1,24.9
245,25.0,25.1,24.9,24.8
246,25.1,24.9,24.8,24.7
247,24.9,24.8,24.7,25.0
248,24.8,24.7,25.0,24.9
249,24.7,25.0,24.9,24.9
250,25.0,24.9,24.9,25.1
251,24.9,24.9,25.1,25.1
252,24.9,25.1,25.1,24.8
253,25.1,25.1,24.8,24.7
254,25.1,24.8,24.7,24.7
255,24.8,24.7,24.7,24.8
256,24.7,24.7,24.8,24.8
257,24.7,24.8,24.8,24.7
258,24.8,24.8,24.7,24.7
259,24.8,24.7,24.7,24.8
260,24.7,24.7,24.8,24.8
261,24.7,24.8,24.8,24.8
262,24.8,24.8,24.8,24.7
263,24.8,24.8,24.7,24.7
264,24.8,24.7,24.7,24.6
265,24.7,24.7,24.6,24.8
266,24.7,24.6,24.8,24.8
267,24.6,24.8,24.8,24.9
268,24.8,24.8,24.9,24.9
269,24.8,24.9,24.9,24.8
270,24.9,24.9,24.8,24.8
271,24.9,24.8,24.8,24.8
272,24.8,24.8,24.8,24.2
273,24.8,24.8,24.2,24.0
274,24.8,24.2,24.0,23.9
275,24.2,24.0,23.9,23.7
276,24.0,23.9,23.7,23.7
277,23.9,23.7,23.7,23.7
278,23.7,23.7,23.7,23.7
279,23.7,23.7,23.7,23.7
280,23.7,23.7,23.7,23.7
281,23.7,23.7,23.7,23.6
282,23.7,23.7,23.6,23.6
283,23.7,23.6,23.6,23.55
284,23.6,23.6,23.55,23.5
285,23.6,23.55,23.5,23.5
286,23.55,23.5,23.5,23.7
287,23.5,23.5,23.7,23.8
288,23.5,23.7,23.8,23.8
289,23.7,23.8,23.8,23.8
290,23.8,23.8,23.8,23.8
291,23.8,23.8,23.8,23.8
292,23.8,23.8,23.8,23.8
293,23.8,23.8,23.8,23.8
294,23.8,23.8,23.8,23.8
295,23.8,23.8,23.8,23.8
296,23.8,23.8,23.8,23.8
297,23.8,23.8,23.8,23.7
298,23.8,23.8,23.7,23.7
299,23.8,23.7,23.7,23.7
300,23.7,23.7,23.7,23.7
301,23.7,23.7,23.7,23.7
302,23.7,23.7,23.7,23.7
303,23.7,23.7,23.7,23.7
304,23.7,23.7,23.7,23.6
305,23.7,23.7,23.6,23.6
306,23.7,23.6,23.6,23.6
307,23.6,23.6,23.6,23.6
308,23.6,23.6,23.6,23.5
309,23.6,23.6,23.5,23.5
310,23.6,23.5,23.5,23.5
311,23.5,23.5,23.5,23.4
312,23.5,23.5,23.4,23.4
313,23.5,23.4,23.4,23.4
314,23.4,23.4,23.4,22.8
315,23.4,23.4,22.8,23.4
316,23.4,22.8,23.4,23.1
317,22.8,23.4,23.1,23.0
318,23.4,23.1,23.0,23.2
319,23.1,23.0,23.2,23.2
320,23.0,23.2,23.2,23.3
321,23.2,23.2,23.3,23.4
322,23.2,23.3,23.4,23.5
323,23.3,23.4,23.5,23.7
324,23.4,23.5,23.7,23.9
325,23.5,23.7,23.9,24.0
326,23.7,23.9,24.0,24.0
327,23.9,24.0,24.0,24.3
328,24.0,24.0,24.3,24.6
329,24.0,24.3,24.6,24.6
330,24.3,24.6,24.6,24.9
331,24.6,24.6,24.9,24.5
332,24.6,24.9,24.5,24.1
333,24.9,24.5,24.1,24.5
334,24.5,24.1,24.5,24.8
335,24.1,24.5,24.8,25.0
336,24.5,24.8,25.0,24.9
337,24.8,25.0,24.9,25.0
338,25.0,24.9,25.0,25.1
339,24.9,25.0,25.1,25.0
340,25.0,25.1,25.0,24.8
341,25.1,25.0,24.8,24.8
342,25.0,24.8,24.8,24.8
343,24.8,24.8,24.8,24.9
344,24.8,24.8,24.9,24.8
345,24.8,24.9,24.8,24.6
346,24.9,24.8,24.6,24.8
347,24.8,24.6,24.8,24.9
348,24.6,24.8,24.9,24.9
349,24.8,24.9,24.9,24.8
350,24.9,24.9,24.8,24.8
