,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,27.5,27.5,27.5,27.5
1,27.5,27.5,27.5,27.5
2,27.5,27.5,27.5,27.5
3,27.5,27.5,27.5,27.4
4,27.5,27.5,27.4,27.4
5,27.5,27.4,27.4,27.4
6,27.4,27.4,27.4,27.4
7,27.4,27.4,27.4,27.3
8,27.4,27.4,27.3,27.3
9,27.4,27.3,27.3,27.2
10,27.3,27.3,27.2,27.2
11,27.3,27.2,27.2,27.2
12,27.2,27.2,27.2,27.2
13,27.2,27.2,27.2,27.1
14,27.2,27.2,27.1,27.1
15,27.2,27.1,27.1,27.0
16,27.1,27.1,27.0,27.0
17,27.1,27.0,27.0,26.9
18,27.0,27.0,26.9,26.9
19,27.0,26.9,26.9,26.9
20,26.9,26.9,26.9,26.85
21,26.9,26.9,26.85,26.8
22,26.9,26.85,26.8,26.8
23,26.85,26.8,26.8,26.8
24,26.8,26.8,26.8,26.7
25,26.8,26.8,26.7,26.7
26,26.8,26.7,26.7,26.6
27,26.7,26.7,26.6,26.4
28,26.7,26.6,26.4,25.9
29,26.6,26.4,25.9,25.4
30,26.4,25.9,25.4,25.4
31,25.9,25.4,25.4,25.4
32,25.4,25.4,25.4,25.5
33,25.4,25.4,25.5,25.5
34,25.4,25.5,25.5,25.6
35,25.5,25.5,25.6,26.0
36,25.5,25.6,26.0,26.1
37,25.6,26.0,26.1,25.9
38,26.0,26.1,25.9,25.5
39,26.1,25.9,25.5,25.7
40,25.9,25.5,25.7,25.8
41,25.5,25.7,25.8,25.8
42,25.7,25.8,25.8,25.6
43,25.8,25.8,25.6,25.6
44,25.8,25.6,25.6,25.8
45,25.6,25.6,25.8,25.7
46,25.6,25.8,25.7,25.8
47,25.8,25.7,25.8,25.6
48,25.7,25.8,25.6,25.8
49,25.8,25.6,25.8,25.7
50,25.6,25.8,25.7,25.7
51,25.8,25.7,25.7,25.4
52,25.7,25.7,25.4,25.7
53,25.7,25.4,25.7,26.0
54,25.4,25.7,26.0,25.8
55,25.7,26.0,25.8,26.1
56,26.0,25.8,26.1,26.4
57,25.8,26.1,26.4,25.6
58,26.1,26.4,25.6,25.7
59,26.4,25.6,25.7,26.0
60,25.6,25.7,26.0,26.1
61,25.7,26.0,26.1,25.5
62,26.0,26.1,25.5,25.7
63,26.1,25.5,25.7,25.7
64,25.5,25.7,25.7,25.9
65,25.7,25.7,25.9,25.6
66,25.7,25.9,25.6,25.8
67,25.9,25.6,25.8,25.8
68,25.6,25.8,25.8,25.75
69,25.8,25.8,25.75,25.7
70,25.8,25.75,25.7,25.7
71,25.75,25.7,25.7,25.7
72,25.7,25.7,25.7,25.7
73,25.7,25.7,25.7,25.8
74,25.7,25.7,25.8,25.6
75,25.7,25.8,25.6,25.3
76,25.8,25.6,25.3,25.5
77,25.6,25.3,25.5,26.0
78,25.3,25.5,26.0,26.3
79,25.5,26.0,26.3,26.5
80,26.0,26.3,26.5,26.5
81,26.3,26.5,26.5,26.6
82,26.5,26.5,26.6,26.7
83,26.5,26.6,26.7,26.7
84,26.6,26.7,26.7,26.7
85,26.7,26.7,26.7,26.7
86,26.7,26.7,26.7,26.7
87,26.7,26.7,26.7,26.7
88,26.7,26.7,26.7,26.6
89,26.7,26.7,26.6,26.6
90,26.7,26.6,26.6,26.6
91,26.6,26.6,26.6,26.6
92,26.6,26.6,26.6,26.6
93,26.6,26.6,26.6,26.6
94,26.6,26.6,26.6,26.5
95,26.6,26.6,26.5,26.5
96,26.6,26.5,26.5,26.5
97,26.5,26.5,26.5,26.5
98,26.5,26.5,26.5,26.5
99,26.5,26.5,26.5,26.5
100,26.5,26.5,26.5,26.5
101,26.5,26.5,26.5,26.5
102,26.5,26.5,26.5,26.5
103,26.5,26.5,26.5,26.5
104,26.5,26.5,26.5,26.4
105,26.5,26.5,26.4,26.4
106,26.5,26.4,26.4,26.4
107,26.4,26.4,26.4,26.4
108,26.4,26.4,26.4,26.4
109,26.4,26.4,26.4,26.4
110,26.4,26.4,26.4,26.4
111,26.4,26.4,26.4,26.3
112,26.4,26.4,26.3,26.4
113,26.4,26.3,26.4,26.3
114,26.3,26.4,26.3,26.3
115,26.4,26.3,26.3,26.3
116,26.3,26.3,26.3,26.3
117,26.3,26.3,26.3,26.3
118,26.3,26.3,26.3,26.3
119,26.3,26.3,26.3,26.3
120,26.3,26.3,26.3,26.3
121,26.3,26.3,26.3,26.3
122,26.3,26.3,26.3,26.2
123,26.3,26.3,26.2,26.1
124,26.3,26.2,26.1,25.3
125,26.2,26.1,25.3,25.3
126,26.1,25.3,25.3,25.3
127,25.3,25.3,25.3,25.4
128,25.3,25.3,25.4,25.5
129,25.3,25.4,25.5,25.6
130,25.4,25.5,25.6,25.4
131,25.5,25.6,25.4,25.5
132,25.6,25.4,25.5,25.55
133,25.4,25.5,25.55,25.6
134,25.5,25.55,25.6,25.4
135,25.55,25.6,25.4,25.6
136,25.6,25.4,25.6,25.3
137,25.4,25.6,25.3,25.2
138,25.6,25.3,25.2,25.1
139,25.3,25.2,25.1,25.4
140,25.2,25.1,25.4,25.4
141,25.1,25.4,25.4,25.3
142,25.4,25.4,25.3,25.2
143,25.4,25.3,25.2,25.266666
144,25.3,25.2,25.266666,25.333334
145,25.2,25.266666,25.333334,25.4
146,25.266666,25.333334,25.4,25.4
147,25.333334,25.4,25.4,25.4
148,25.4,25.4,25.4,25.5
149,25.4,25.4,25.5,25.9
150,25.4,25.5,25.9,25.6
151,25.5,25.9,25.6,25.7
152,25.9,25.6,25.7,25.5
153,25.6,25.7,25.5,25.7
154,25.7,25.5,25.7,25.6
155,25.5,25.7,25.6,25.5
156,25.7,25.6,25.5,25.9
157,25.6,25.5,25.9,25.5
158,25.5,25.9,25.5,25.7
159,25.9,25.5,25.7,25.5
160,25.5,25.7,25.5,25.6
161,25.7,25.5,25.6,25.6
162,25.5,25.6,25.6,25.6
163,25.6,25.6,25.6,25.5
164,25.6,25.6,25.5,25.5
165,25.6,25.5,25.5,25.6
166,25.5,25.5,25.6,25.4
167,25.5,25.6,25.4,25.4
168,25.6,25.4,25.4,25.4
169,25.4,25.4,25.4,26.0
170,25.4,25.4,26.0,26.3
171,25.4,26.0,26.3,26.6
172,26.0,26.3,26.6,26.7
173,26.3,26.6,26.7,26.7
174,26.6,26.7,26.7,26.8
175,26.7,26.7,26.8,26.8
176,26.7,26.8,26.8,26.8
177,26.8,26.8,26.8,26.9
178,26.8,26.8,26.9,26.9
179,26.8,26.9,26.9,27.0
180,26.9,26.9,27.0,26.9
181,26.9,27.0,26.9,26.9
182,27.0,26.9,26.9,26.9
183,26.9,26.9,26.9,26.9
184,26.9,26.9,26.9,26.9
185,26.9,26.9,26.9,26.8
186,26.9,26.9,26.8,26.8
187,26.9,26.8,26.8,26.8
188,26.8,26.8,26.8,26.8
189,26.8,26.8,26.8,26.8
190,26.8,26.8,26.8,26.7
191,26.8,26.8,26.7,26.7
192,26.8,26.7,26.7,26.7
193,26.7,26.7,26.7,26.7
194,26.7,26.7,26.7,26.7
195,26.7,26.7,26.7,26.7
196,26.7,26.7,26.7,26.6
197,26.7,26.7,26.6,26.6
198,26.7,26.6,26.6,26.6
199,26.6,26.6,26.6,26.6
200,26.6,26.6,26.6,26.6
201,26.6,26.6,26.6,26.6
202,26.6,26.6,26.6,26.6
203,26.6,26.6,26.6,26.5
204,26.6,26.6,26.5,26.5
205,26.6,26.5,26.5,26.5
206,26.5,26.5,26.5,26.5
207,26.5,26.5,26.5,26.5
208,26.5,26.5,26.5,26.5
209,26.5,26.5,26.5,26.5
210,26.5,26.5,26.5,26.5
211,26.5,26.5,26.5,26.5
212,26.5,26.5,26.5,26.5
213,26.5,26.5,26.5,26.4
214,26.5,26.5,26.4,26.4
215,26.5,26.4,26.4,26.4
216,26.4,26.4,26.4,26.4
217,26.4,26.4,26.4,26.4
218,26.4,26.4,26.4,26.4
219,26.4,26.4,26.4,26.05
220,26.4,26.4,26.05,25.7
221,26.4,26.05,25.7,25.6
222,26.05,25.7,25.6,25.5
223,25.7,25.6,25.5,25.6
224,25.6,25.5,25.6,25.4
225,25.5,25.6,25.4,25.4
226,25.6,25.4,25.4,25.5
227,25.4,25.4,25.5,25.5
228,25.4,25.5,25.5,25.6
229,25.5,25.5,25.6,25.7
230,25.5,25.6,25.7,25.5
231,25.6,25.7,25.5,25.4
232,25.7,25.5,25.4,25.6
233,25.5,25.4,25.6,25.9
234,25.4,25.6,25.9,25.6
235,25.6,25.9,25.6,25.6
236,25.9,25.6,25.6,25.7
237,25.6,25.6,25.7,25.8
238,25.6,25.7,25.8,25.9
239,25.7,25.8,25.9,25.8
240,25.8,25.9,25.8,25.8
241,25.9,25.8,25.8,25.7
242,25.8,25.8,25.7,25.9
243,25.8,25.7,25.9,25.8
244,25.7,25.9,25.8,25.8
245,25.9,25.8,25.8,25.8
246,25.8,25.8,25.8,25.7
247,25.8,25.8,25.7,25.9
