,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,27.8,27.8,27.8,27.8
1,27.8,27.8,27.8,27.8
2,27.8,27.8,27.8,27.8
3,27.8,27.8,27.8,27.8
4,27.8,27.8,27.8,27.7
5,27.8,27.8,27.7,27.7
6,27.8,27.7,27.7,27.7
7,27.7,27.7,27.7,27.7
8,27.7,27.7,27.7,27.7
9,27.7,27.7,27.7,27.7
10,27.7,27.7,27.7,27.7
11,27.7,27.7,27.7,27.7
12,27.7,27.7,27.7,27.7
13,27.7,27.7,27.7,27.7
14,27.7,27.7,27.7,27.7
15,27.7,27.7,27.7,27.7
16,27.7,27.7,27.7,27.7
17,27.7,27.7,27.7,27.7
18,27.7,27.7,27.7,27.6
19,27.7,27.7,27.6,27.6
20,27.7,27.6,27.6,27.6
21,27.6,27.6,27.6,27.6
22,27.6,27.6,27.6,27.6
23,27.6,27.6,27.6,27.6
24,27.6,27.6,27.6,27.6
25,27.6,27.6,27.6,27.6
26,27.6,27.6,27.6,27.6
27,27.6,27.6,27.6,27.6
28,27.6,27.6,27.6,27.4
29,27.6,27.6,27.4,27.3
30,27.6,27.4,27.3,27.3
31,27.4,27.3,27.3,27.3
32,27.3,27.3,27.3,27.3
33,27.3,27.3,27.3,27.35
34,27.3,27.3,27.35,27.4
35,27.3,27.35,27.4,27.4
36,27.35,27.4,27.4,27.4
37,27.4,27.4,27.4,27.5
38,27.4,27.4,27.5,27.5
39,27.4,27.5,27.5,27.5
40,27.5,27.5,27.5,27.6
41,27.5,27.5,27.6,27.7
42,27.5,27.6,27.7,27.7
43,27.6,27.7,27.7,27.8
44,27.7,27.7,27.8,27.8
45,27.7,27.8,27.8,27.9
46,27.8,27.8,27.9,27.9
47,27.8,27.9,27.9,27.9
48,27.9,27.9,27.9,27.9
49,27.9,27.9,27.9,27.9
50,27.9,27.9,27.9,28.0
51,27.9,27.9,28.0,28.0
52,27.9,28.0,28.0,28.1
53,28.0,28.0,28.1,28.1
54,28.0,28.1,28.1,28.3
55,28.1,28.1,28.3,28.4
56,28.1,28.3,28.4,28.4
57,28.3,28.4,28.4,28.3
58,28.4,28.4,28.3,28.4
59,28.4,28.3,28.4,28.2
60,28.3,28.4,28.2,28.2
61,28.4,28.2,28.2,28.2
62,28.2,28.2,28.2,28.2
63,28.2,28.2,28.2,28.2
64,28.2,28.2,28.2,28.2
65,28.2,28.2,28.2,28.2
66,28.2,28.2,28.2,28.2
67,28.2,28.2,28.2,28.2
68,28.2,28.2,28.2,28.2
69,28.2,28.2,28.2,28.2
70,28.2,28.2,28.2,28.2
71,28.2,28.2,28.2,28.2
72,28.2,28.2,28.2,28.2
73,28.2,28.2,28.2,28.1
74,28.2,28.2,28.1,28.1
75,28.2,28.1,28.1,28.2
76,28.1,28.1,28.2,28.2
77,28.1,28.2,28.2,28.2
78,28.2,28.2,28.2,28.2
79,28.2,28.2,28.2,28.2
80,28.2,28.2,28.2,28.2
81,28.2,28.2,28.2,28.2
82,28.2,28.2,28.2,28.2
83,28.2,28.2,28.2,28.2
84,28.2,28.2,28.2,28.2
85,28.2,28.2,28.2,28.1
86,28.2,28.2,28.1,28.1
87,28.2,28.1,28.1,28.1
88,28.1,28.1,28.1,28.1
89,28.1,28.1,28.1,28.1
90,28.1,28.1,28.1,28.1
91,28.1,28.1,28.1,28.1
92,28.1,28.1,28.1,28.0
93,28.1,28.1,28.0,28.0
94,28.1,28.0,28.0,28.0
95,28.0,28.0,28.0,28.0
96,28.0,28.0,28.0,28.0
97,28.0,28.0,28.0,28.0
98,28.0,28.0,28.0,28.0
99,28.0,28.0,28.0,28.0
100,28.0,28.0,28.0,27.9
101,28.0,28.0,27.9,27.9
102,28.0,27.9,27.9,27.9
103,27.9,27.9,27.9,27.9
104,27.9,27.9,27.9,27.9
105,27.9,27.9,27.9,27.9
106,27.9,27.9,27.9,27.9
107,27.9,27.9,27.9,27.9
108,27.9,27.9,27.9,27.9
109,27.9,27.9,27.9,27.9
110,27.9,27.9,27.9,27.9
111,27.9,27.9,27.9,27.9
112,27.9,27.9,27.9,27.8
113,27.9,27.9,27.8,27.8
114,27.9,27.8,27.8,27.8
115,27.8,27.8,27.8,27.8
116,27.8,27.8,27.8,27.8
117,27.8,27.8,27.8,27.8
118,27.8,27.8,27.8,27.8
119,27.8,27.8,27.8,27.8
120,27.8,27.8,27.8,27.8
121,27.8,27.8,27.8,27.8
122,27.8,27.8,27.8,27.7
123,27.8,27.8,27.7,27.3
124,27.8,27.7,27.3,26.7
125,27.7,27.3,26.7,26.2
126,27.3,26.7,26.2,26.1
127,26.7,26.2,26.1,25.9
128,26.2,26.1,25.9,26.0
129,26.1,25.9,26.0,25.8
130,25.9,26.0,25.8,25.7
131,26.0,25.8,25.7,25.8
132,25.8,25.7,25.8,25.9
133,25.7,25.8,25.9,25.9
134,25.8,25.9,25.9,25.9
135,25.9,25.9,25.9,25.8
136,25.9,25.9,25.8,25.9
137,25.9,25.8,25.9,25.9
138,25.8,25.9,25.9,26.0
139,25.9,25.9,26.0,25.8
140,25.9,26.0,25.8,26.1
141,26.0,25.8,26.1,25.9
142,25.8,26.1,25.9,25.7
143,26.1,25.9,25.7,25.4
144,25.9,25.7,25.4,25.5
145,25.7,25.4,25.5,25.4
146,25.4,25.5,25.4,25.2
147,25.5,25.4,25.2,25.4
148,25.4,25.2,25.4,25.6
149,25.2,25.4,25.6,26.1
150,25.4,25.6,26.1,25.8
151,25.6,26.1,25.8,25.7
152,26.1,25.8,25.7,26.0
153,25.8,25.7,26.0,26.2
154,25.7,26.0,26.2,26.3
155,26.0,26.2,26.3,26.0
156,26.2,26.3,26.0,25.8
157,26.3,26.0,25.8,25.9
158,26.0,25.8,25.9,26.1
159,25.8,25.9,26.1,25.7
160,25.9,26.1,25.7,25.3
161,26.1,25.7,25.3,25.6
162,25.7,25.3,25.6,25.7
163,25.3,25.6,25.7,25.6
164,25.6,25.7,25.6,25.3
165,25.7,25.6,25.3,25.2
166,25.6,25.3,25.2,25.3
167,25.3,25.2,25.3,25.5
168,25.2,25.3,25.5,25.5
169,25.3,25.5,25.5,25.9
170,25.5,25.5,25.9,26.4
171,25.5,25.9,26.4,26.7
172,25.9,26.4,26.7,26.9
173,26.4,26.7,26.9,27.1
174,26.7,26.9,27.1,27.3
175,26.9,27.1,27.3,27.4
176,27.1,27.3,27.4,27.5
177,27.3,27.4,27.5,27.5
178,27.4,27.5,27.5,27.4
179,27.5,27.5,27.4,27.5
180,27.5,27.4,27.5,27.5
181,27.4,27.5,27.5,27.7
182,27.5,27.5,27.7,27.7
183,27.5,27.7,27.7,27.7
184,27.7,27.7,27.7,27.7
185,27.7,27.7,27.7,27.7
186,27.7,27.7,27.7,27.7
187,27.7,27.7,27.7,27.7
188,27.7,27.7,27.7,27.7
189,27.7,27.7,27.7,27.7
190,27.7,27.7,27.7,27.7
191,27.7,27.7,27.7,27.7
192,27.7,27.7,27.7,27.7
193,27.7,27.7,27.7,27.7
194,27.7,27.7,27.7,27.7
195,27.7,27.7,27.7,27.7
196,27.7,27.7,27.7,27.7
197,27.7,27.7,27.7,27.7
198,27.7,27.7,27.7,27.7
199,27.7,27.7,27.7,27.7
200,27.7,27.7,27.7,27.7
201,27.7,27.7,27.7,27.7
202,27.7,27.7,27.7,27.7
203,27.7,27.7,27.7,27.7
204,27.7,27.7,27.7,27.7
205,27.7,27.7,27.7,27.7
206,27.7,27.7,27.7,27.7
207,27.7,27.7,27.7,27.7
208,27.7,27.7,27.7,27.7
209,27.7,27.7,27.7,27.7
210,27.7,27.7,27.7,27.7
211,27.7,27.7,27.7,27.7
212,27.7,27.7,27.7,27.7
213,27.7,27.7,27.7,27.7
214,27.7,27.7,27.7,27.7
215,27.7,27.7,27.7,27.7
216,27.7,27.7,27.7,27.7
217,27.7,27.7,27.7,27.7
218,27.7,27.7,27.7,27.6
219,27.7,27.7,27.6,27.2
220,27.7,27.6,27.2,26.6
221,27.6,27.2,26.6,26.4
222,27.2,26.6,26.4,26.3
223,26.6,26.4,26.3,26.4
224,26.4,26.3,26.4,26.5
225,26.3,26.4,26.5,26.1
226,26.4,26.5,26.1,26.3
227,26.5,26.1,26.3,26.4
228,26.1,26.3,26.4,26.2
229,26.3,26.4,26.2,26.1
230,26.4,26.2,26.1,26.2
231,26.2,26.1,26.2,26.4
232,26.1,26.2,26.4,26.2
233,26.2,26.4,26.2,26.2
234,26.4,26.2,26.2,26.0
235,26.2,26.2,26.0,26.3
236,26.2,26.0,26.3,26.2
237,26.0,26.3,26.2,26.2
238,26.3,26.2,26.2,26.0
239,26.2,26.2,26.0,26.0
240,26.2,26.0,26.0,25.9
241,26.0,26.0,25.9,25.6
242,26.0,25.9,25.6,25.8
243,25.9,25.6,25.8,25.9
244,25.6,25.8,25.9,25.9
245,25.8,25.9,25.9,26.2
246,25.9,25.9,26.2,26.1
247,25.9,26.2,26.1,26.1
248,26.2,26.1,26.1,26.1
249,26.1,26.1,26.1,26.2
250,26.1,26.1,26.2,25.9
251,26.1,26.2,25.9,25.6
252,26.2,25.9,25.6,25.8
253,25.9,25.6,25.8,25.9
254,25.6,25.8,25.9,25.5
255,25.8,25.9,25.5,25.5
256,25.9,25.5,25.5,25.7
257,25.5,25.5,25.7,25.9
258,25.5,25.7,25.9,25.4
259,25.7,25.9,25.4,25.5
260,25.9,25.4,25.5,25.8
261,25.4,25.5,25.8,25.7
262,25.5,25.8,25.7,25.6
263,25.8,25.7,25.6,25.5
264,25.7,25.6,25.5,25.5
265,25.6,25.5,25.5,26.1
266,25.5,25.5,26.1,26.0
267,25.5,26.1,26.0,26.1
268,26.1,26.0,26.1,26.4
269,26.0,26.1,26.4,26.9
270,26.1,26.4,26.9,27.0
271,26.4,26.9,27.0,27.0
272,26.9,27.0,27.0,26.9
273,27.0,27.0,26.9,27.1
274,27.0,26.9,27.1,27.4
275,26.9,27.1,27.4,27.5
276,27.1,27.4,27.5,27.5
277,27.4,27.5,27.5,27.6
278,27.5,27.5,27.6,27.6
279,27.5,27.6,27.6,27.6
280,27.6,27.6,27.6,27.6
281,27.6,27.6,27.6,27.6
282,27.6,27.6,27.6,27.6
283,27.6,27.6,27.6,27.6
284,27.6,27.6,27.6,27.7
285,27.6,27.6,27.7,27.7
286,27.6,27.7,27.7,27.7
287,27.7,27.7,27.7,27.7
288,27.7,27.7,27.7,27.7
289,27.7,27.7,27.7,27.6
290,27.7,27.7,27.6,27.6
291,27.7,27.6,27.6,27.7
292,27.6,27.6,27.7,27.7
293,27.6,27.7,27.7,27.7
294,27.7,27.7,27.7,27.7
295,27.7,27.7,27.7,27.7
296,27.7,27.7,27.7,27.7
297,27.7,27.7,27.7,27.7
298,27.7,27.7,27.7,27.7
299,27.7,27.7,27.7,27.7
300,27.7,27.7,27.7,27.7
301,27.7,27.7,27.7,27.7
302,27.7,27.7,27.7,27.7
303,27.7,27.7,27.7,27.7
304,27.7,27.7,27.7,27.7
305,27.7,27.7,27.7,27.6
306,27.7,27.7,27.6,27.6
307,27.7,27.6,27.6,27.6
308,27.6,27.6,27.6,27.6
309,27.6,27.6,27.6,27.6
310,27.6,27.6,27.6,27.6
311,27.6,27.6,27.6,27.6
312,27.6,27.6,27.6,27.6
313,27.6,27.6,27.6,27.6
314,27.6,27.6,27.6,27.6
315,27.6,27.6,27.6,27.3
316,27.6,27.6,27.3,26.7
317,27.6,27.3,26.7,26.3
318,27.3,26.7,26.3,26.6
319,26.7,26.3,26.6,26.5
320,26.3,26.6,26.5,26.5
321,26.6,26.5,26.5,26.3
322,26.5,26.5,26.3,26.3
323,26.5,26.3,26.3,26.2
324,26.3,26.3,26.2,26.4
325,26.3,26.2,26.4,26.4
326,26.2,26.4,26.4,26.2
327,26.4,26.4,26.2,26.2
328,26.4,26.2,26.2,26.1
329,26.2,26.2,26.1,26.0
330,26.2,26.1,26.0,25.6
331,26.1,26.0,25.6,25.5
332,26.0,25.6,25.5,25.4
333,25.6,25.5,25.4,25.3
334,25.5,25.4,25.3,25.5
335,25.4,25.3,25.5,25.6
336,25.3,25.5,25.6,25.7
337,25.5,25.6,25.7,25.55
338,25.6,25.7,25.55,25.4
339,25.7,25.55,25.4,25.2
340,25.55,25.4,25.2,25.5
341,25.4,25.2,25.5,25.6
342,25.2,25.5,25.6,25.7
343,25.5,25.6,25.7,25.7
344,25.6,25.7,25.7,25.7
345,25.7,25.7,25.7,25.7
346,25.7,25.7,25.7,25.6
347,25.7,25.7,25.6,25.6
348,25.7,25.6,25.6,25.3
349,25.6,25.6,25.3,25.2
350,25.6,25.3,25.2,25.2
351,25.3,25.2,25.2,25.5
352,25.2,25.2,25.5,25.6
353,25.2,25.5,25.6,25.4
354,25.5,25.6,25.4,25.6
355,25.6,25.4,25.6,25.3
356,25.4,25.6,25.3,25.5
357,25.6,25.3,25.5,25.7
358,25.3,25.5,25.7,25.3
359,25.5,25.7,25.3,25.5
360,25.7,25.3,25.5,25.4
361,25.3,25.5,25.4,25.8
362,25.5,25.4,25.8,25.7
363,25.4,25.8,25.7,25.6
364,25.8,25.7,25.6,25.7
365,25.7,25.6,25.7,26.3
366,25.6,25.7,26.3,26.7
367,25.7,26.3,26.7,26.9
368,26.3,26.7,26.9,27.1
369,26.7,26.9,27.1,27.2
370,26.9,27.1,27.2,27.3
371,27.1,27.2,27.3,27.3
372,27.2,27.3,27.3,27.4
373,27.3,27.3,27.4,27.4
374,27.3,27.4,27.4,27.4
375,27.4,27.4,27.4,27.4
376,27.4,27.4,27.4,27.4
377,27.4,27.4,27.4,27.5
378,27.4,27.4,27.5,27.5
379,27.4,27.5,27.5,27.5
380,27.5,27.5,27.5,27.5
381,27.5,27.5,27.5,27.5
382,27.5,27.5,27.5,27.5
383,27.5,27.5,27.5,27.5
384,27.5,27.5,27.5,27.5
385,27.5,27.5,27.5,27.5
386,27.5,27.5,27.5,27.5
387,27.5,27.5,27.5,27.5
388,27.5,27.5,27.5,27.5
389,27.5,27.5,27.5,27.5
390,27.5,27.5,27.5,27.5
391,27.5,27.5,27.5,27.6
392,27.5,27.5,27.6,27.6
393,27.5,27.6,27.6,27.6
394,27.6,27.6,27.6,27.6
395,27.6,27.6,27.6,27.6
396,27.6,27.6,27.6,27.6
397,27.6,27.6,27.6,27.6
398,27.6,27.6,27.6,27.6
399,27.6,27.6,27.6,27.6
400,27.6,27.6,27.6,27.6
401,27.6,27.6,27.6,27.6
402,27.6,27.6,27.6,27.6
403,27.6,27.6,27.6,27.6
404,27.6,27.6,27.6,27.6
405,27.6,27.6,27.6,27.6
406,27.6,27.6,27.6,27.6
407,27.6,27.6,27.6,27.6
408,27.6,27.6,27.6,27.6
409,27.6,27.6,27.6,27.6
410,27.6,27.6,27.6,27.6
411,27.6,27.6,27.6,27.3
412,27.6,27.6,27.3,26.3
