,Ti(t+1),Ti(t+2),Ti(t+3),Ti(t+4)
0,25.5,25.7,25.7,26.1
1,25.7,25.7,26.1,26.0
2,25.7,26.1,26.0,26.1
3,26.1,26.0,26.1,25.9
4,26.0,26.1,25.9,26.1
5,26.1,25.9,26.1,26.0
6,25.9,26.1,26.0,25.9
7,26.1,26.0,25.9,26.0
8,26.0,25.9,26.0,26.0
9,25.9,26.0,26.0,26.0
10,26.0,26.0,26.0,25.8
11,26.0,26.0,25.8,25.9
12,26.0,25.8,25.9,26.0
13,25.8,25.9,26.0,26.4
14,25.9,26.0,26.4,26.9
15,26.0,26.4,26.9,26.9
16,26.4,26.9,26.9,26.9
17,26.9,26.9,26.9,27.1
18,26.9,26.9,27.1,27.3
19,26.9,27.1,27.3,27.2
20,27.1,27.3,27.2,27.2
21,27.3,27.2,27.2,27.4
22,27.2,27.2,27.4,27.4
23,27.2,27.4,27.4,27.3
24,27.4,27.4,27.3,27.3
25,27.4,27.3,27.3,27.5
26,27.3,27.3,27.5,27.7
27,27.3,27.5,27.7,27.9
28,27.5,27.7,27.9,27.9
29,27.7,27.9,27.9,28.0
30,27.9,27.9,28.0,28.0
31,27.9,28.0,28.0,28.0
32,28.0,28.0,28.0,28.0
33,28.0,28.0,28.0,28.0
34,28.0,28.0,28.0,28.1
35,28.0,28.0,28.1,28.1
36,28.0,28.1,28.1,28.1
37,28.1,28.1,28.1,28.1
38,28.1,28.1,28.1,28.1
39,28.1,28.1,28.1,28.1
40,28.1,28.1,28.1,28.1
41,28.1,28.1,28.1,28.1
42,28.1,28.1,28.1,28.1
43,28.1,28.1,28.1,28.1
44,28.1,28.1,28.1,28.1
45,28.1,28.1,28.1,28.1
46,28.1,28.1,28.1,28.1
47,28.1,28.1,28.1,28.1
48,28.1,28.1,28.1,28.1
49,28.1,28.1,28.1,28.2
50,28.1,28.1,28.2,28.2
51,28.1,28.2,28.2,28.2
52,28.2,28.2,28.2,28.2
53,28.2,28.2,28.2,28.2
54,28.2,28.2,28.2,28.2
55,28.2,28.2,28.2,28.2
56,28.2,28.2,28.2,28.2
57,28.2,28.2,28.2,28.2
58,28.2,28.2,28.2,28.2
59,28.2,28.2,28.2,28.2
60,28.2,28.2,28.2,28.2
61,28.2,28.2,28.2,28.2
62,28.2,28.2,28.2,28.2
63,28.2,28.2,28.2,28.2
64,28.2,28.2,28.2,28.2
65,28.2,28.2,28.2,28.2
66,28.2,28.2,28.2,28.2
67,28.2,28.2,28.2,28.2
68,28.2,28.2,28.2,28.2
69,28.2,28.2,28.2,28.3
70,28.2,28.2,28.3,28.2
71,28.2,28.3,28.2,28.2
72,28.3,28.2,28.2,28.2
73,28.2,28.2,28.2,28.2
74,28.2,28.2,28.2,28.2
75,28.2,28.2,28.2,28.2
76,28.2,28.2,28.2,28.2
77,28.2,28.2,28.2,28.2
78,28.2,28.2,28.2,27.9
79,28.2,28.2,27.9,27.6
80,28.2,27.9,27.6,27.1
81,27.9,27.6,27.1,26.65
82,27.6,27.1,26.65,26.2
83,27.1,26.65,26.2,26.2
